id,entity_id,code,name,account_type,normal_balance,parent_code,created_at,updated_at,category,sub_category,description,is_bank_account,status,gst_applicable
14,,1530,Furniture & Fixtures,ASSET,DEBIT,,2026-02-19 03:40:06.757674,2026-02-19 03:40:06.757674,Assets,Fixed Assets,"Office desks, chairs, shelving, and other fixtures. Capitalised at cost and depreciated over useful life.",False,ACTIVE,False
15,,1600,Accum Depr - Computer & Peripherals,ASSET,CREDIT,,2026-02-19 03:40:06.757675,2026-02-19 03:40:06.757675,Assets,Accumulated Depreciation,Cumulative depreciation charged against Computer & Peripherals (1500). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
16,,1610,Accum Depr - Hardware Devices,ASSET,CREDIT,,2026-02-19 03:40:06.757675,2026-02-19 03:40:06.757676,Assets,Accumulated Depreciation,Cumulative depreciation charged against Hardware Devices (1510). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
17,,1620,Accum Depr - Motor Vehicles,ASSET,CREDIT,,2026-02-19 03:40:06.757676,2026-02-19 03:40:06.757676,Assets,Accumulated Depreciation,Cumulative depreciation charged against Motor Vehicles (1520). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
18,,1630,Accum Depr - Furniture & Fixtures,ASSET,CREDIT,,2026-02-19 03:40:06.757677,2026-02-19 03:40:06.757677,Assets,Accumulated Depreciation,Cumulative depreciation charged against Furniture & Fixtures (1530). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
19,,1700,Brand,ASSET,DEBIT,,2026-02-19 03:40:06.757677,2026-02-19 03:40:06.757678,Assets,Intangible Assets,"Capitalised costs related to brand development, trademark registration, and brand identity. Amortised over useful life.",False,ACTIVE,False
20,,1710,Technology Development,ASSET,DEBIT,,2026-02-19 03:40:06.757678,2026-02-19 03:40:06.757678,Assets,Intangible Assets,"Capitalised software development costs (platform, mobile app, internal tools). Amortised over useful life once the asset is available for use.",False,ACTIVE,False
21,,1800,Accum Amort - Brand,ASSET,CREDIT,,2026-02-19 03:40:06.757679,2026-02-19 03:40:06.757679,Assets,Accumulated Amortisation,Cumulative amortisation charged against Brand (1700). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
22,,1810,Accum Amort - Technology Development,ASSET,CREDIT,,2026-02-19 03:40:06.757679,2026-02-19 03:40:06.757680,Assets,Accumulated Amortisation,Cumulative amortisation charged against Technology Development (1710). Contra-asset that reduces the net book value on the balance sheet.,False,ACTIVE,False
23,,1900,Allowance for Doubtful Accounts,ASSET,CREDIT,,2026-02-19 03:40:06.757680,2026-02-19 03:40:06.757680,Assets,Other Non-Current,Provision for receivables that may not be collected (bad debt reserve). Contra-asset that reduces the net receivables on the balance sheet.,False,ACTIVE,False
24,,2000,Trade & Other Payables,LIABILITY,CREDIT,,2026-02-19 03:40:06.757681,2026-02-19 03:40:06.757681,Liabilities,Trade Payables,Amounts owed to suppliers and vendors for goods and services received in the normal course of business (e.g. workshop invoices or software vendor bills).,False,ACTIVE,False
25,,2010,Other Payables,LIABILITY,CREDIT,,2026-02-19 03:40:06.757682,2026-02-19 03:40:06.757682,Liabilities,Trade Payables,Non-trade amounts owed such as statutory payments due or miscellaneous liabilities not related to regular supplier invoices.,False,ACTIVE,False
26,,2100,Deferred Trip Revenue,LIABILITY,CREDIT,,2026-02-19 03:40:06.757682,2026-02-19 03:40:06.757683,Liabilities,Platform Liabilities,"Trip booking payments collected from guests but not yet earned (trip hasn't started or completed). Recognised as revenue (4000-4003) when trip is fulfilled, or refunded (5052) if cancelled.",False,ACTIVE,False
27,,2110,Customer Deposits Held,LIABILITY,CREDIT,,2026-02-19 03:40:06.757683,2026-02-19 03:40:06.757684,Liabilities,Platform Liabilities,"Security or verification deposits collected from guests and held until the trip is completed. Returned to guest after trip, or applied against damage/incidental charges.",False,ACTIVE,False
28,,2120,Host Payables,LIABILITY,CREDIT,,2026-02-19 03:40:06.757684,2026-02-19 03:40:06.757684,Liabilities,Platform Liabilities,Amounts owed to car owners (hosts) for their earnings share from completed trips. Settled via periodic payouts from the payment platform.,False,ACTIVE,False
57,,5002,Host Payouts - Flex+,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757703,2026-02-19 03:40:06.757703,Cost of Sales,Host Payouts,Host's earnings share from Flex+ long-term bookings. Paid monthly to the car owner based on the long-term rental agreement terms.,False,ACTIVE,False
29,,2200,Accrued Expenses,LIABILITY,CREDIT,,2026-02-19 03:40:06.757685,2026-02-19 03:40:06.757685,Liabilities,Accruals,"Expenses that have been incurred but not yet invoiced or paid (e.g. electricity used in January, bill arrives February; salary for last week of month paid next month). Ensures expenses are recorded in the correct period.",False,ACTIVE,False
30,,2210,Deferred Income,LIABILITY,CREDIT,,2026-02-19 03:40:06.757685,2026-02-19 03:40:06.757686,Liabilities,Accruals,"Cash received for services not yet delivered (e.g. annual device subscription paid upfront). Revenue is recognised monthly as service is delivered, reducing this liability over time.",False,ACTIVE,False
31,,2300,CPF Payable (SG),LIABILITY,CREDIT,,2026-02-19 03:40:06.757686,2026-02-19 03:40:06.757686,Liabilities,Payroll,"Singapore Central Provident Fund contributions withheld from employees (employee share) plus employer's contribution, owed to the CPF Board. Settled monthly.",False,ACTIVE,False
32,,2301,PAYG Withholding Payable (AU),LIABILITY,CREDIT,,2026-02-19 03:40:06.757687,2026-02-19 03:40:06.757687,Liabilities,Payroll,Australian Pay As You Go tax withheld from employee wages on behalf of the ATO. Settled quarterly via Business Activity Statement (BAS).,False,ACTIVE,False
33,,2302,Superannuation Payable (AU),LIABILITY,CREDIT,,2026-02-19 03:40:06.757687,2026-02-19 03:40:06.757688,Liabilities,Payroll,Australian employer superannuation guarantee contributions owed to employee super funds. Currently 11.5% of ordinary time earnings. Settled quarterly.,False,ACTIVE,False
34,,2303,Employee Claims Payable,LIABILITY,CREDIT,,2026-02-19 03:40:06.757688,2026-02-19 03:40:06.757688,Liabilities,Payroll,"Approved employee expense reimbursement claims awaiting payment. When approved, the expense is recorded (6010-6014) and this liability is created. Cleared when payment is made.",False,ACTIVE,False
35,,2304,Salaries Payable,LIABILITY,CREDIT,,2026-02-19 03:40:06.757689,2026-02-19 03:40:06.757689,Liabilities,Payroll,Staff salaries that have been earned/accrued but not yet paid (e.g. month-end accrual before payday). Cleared on pay date.,False,ACTIVE,False
36,,2400,Loans from Others,LIABILITY,CREDIT,,2026-02-19 03:40:06.757689,2026-02-19 03:40:06.757689,Liabilities,Other Liabilities,Loans received from external parties (individuals or institutions). Tracks principal amounts outstanding.,False,ACTIVE,False
37,,2500,GST Payable (Output Tax),LIABILITY,CREDIT,,2026-02-19 03:40:06.757690,2026-02-19 03:40:06.757690,Liabilities,Tax,"GST/VAT collected on sales that is owed to the tax authority (IRAS for Singapore, ATO for Australia). Net of GST Receivable (1350) determines amount payable/refundable on GST return.",False,ACTIVE,False
38,,3000,Share Capital,EQUITY,CREDIT,,2026-02-19 03:40:06.757690,2026-02-19 03:40:06.757691,Equity,Equity,Total capital invested by shareholders in exchange for ownership shares. Represents the par value of issued shares plus any share premium.,False,ACTIVE,False
39,,3100,Retained Earnings,EQUITY,CREDIT,,2026-02-19 03:40:06.757691,2026-02-19 03:40:06.757691,Equity,Equity,Cumulative net profits (or losses) from all prior periods that have not been distributed as dividends. Automatically updated at year-end close.,False,ACTIVE,False
40,,3200,Opening Balance Equity,EQUITY,CREDIT,,2026-02-19 03:40:06.757692,2026-02-19 03:40:06.757692,Equity,Equity,Temporary account used during system migration to capture opening balances from the legacy system (QuickBooks). Should be zero after migration is complete.,False,ACTIVE,False
41,,3300,Suspense Account,EQUITY,CREDIT,,2026-02-19 03:40:06.757692,2026-02-19 03:40:06.757693,Equity,Equity,Temporary holding account for transactions that cannot be immediately classified. All items should be investigated and reclassified to proper accounts promptly.,False,ACTIVE,False
42,,4000,GBV - P2P,REVENUE,CREDIT,,2026-02-19 03:40:06.757693,2026-02-19 03:40:06.757693,Revenue,Trip Revenue,"Gross Booking Value from peer-to-peer short-term car rentals (non-managed). This is the total amount charged to the guest, before deducting host payouts and platform fees.",False,ACTIVE,False
43,,4001,GBV - P2P RMS,REVENUE,CREDIT,,2026-02-19 03:40:06.757694,2026-02-19 03:40:06.757694,Revenue,Trip Revenue,Gross Booking Value from short-term rentals on cars managed under the Rental Management Service. Higher platform margin than P2P due to management fee (approx 10% extra).,False,ACTIVE,False
44,,4002,GBV - Flex+,REVENUE,CREDIT,,2026-02-19 03:40:06.757694,2026-02-19 03:40:06.757695,Revenue,Trip Revenue,"Gross Booking Value from long-term car rentals (Flex+ product, non-managed). Typically monthly or multi-month bookings.",False,ACTIVE,False
45,,4003,GBV - Flex+ RMS,REVENUE,CREDIT,,2026-02-19 03:40:06.757695,2026-02-19 03:40:06.757695,Revenue,Trip Revenue,Gross Booking Value from long-term rentals on RMS-managed cars. Combines long-term rental revenue with rental management service margin.,False,ACTIVE,False
46,,4010,Subscription Revenue - Device,REVENUE,CREDIT,,2026-02-19 03:40:06.757696,2026-02-19 03:40:06.757696,Revenue,Subscription,Monthly or annual fees charged to hosts for the in-car telematics/GPS device subscription. Recognised as service is delivered.,False,ACTIVE,False
47,,4011,Subscription Revenue - Insurance,REVENUE,CREDIT,,2026-02-19 03:40:06.757696,2026-02-19 03:40:06.757697,Revenue,Subscription,Fees charged to hosts for optional insurance subscription products. Recognised as the insurance coverage period elapses.,False,ACTIVE,False
48,,4020,Incidentals Revenue - Tolls,REVENUE,CREDIT,,2026-02-19 03:40:06.757697,2026-02-19 03:40:06.757697,Revenue,Incidentals,Toll charges billed to guests or recovered from hosts for tolls incurred during a trip. Drive Lah may retain a margin.,False,ACTIVE,False
49,,4021,Incidentals Revenue - Damage,REVENUE,CREDIT,,2026-02-19 03:40:06.757697,2026-02-19 03:40:06.757698,Revenue,Incidentals,Damage fees charged to guests for vehicle damage during a trip. Separate from insurance recovery (4030) which comes from insurers.,False,ACTIVE,False
50,,4022,Incidentals Revenue - Cleaning,REVENUE,CREDIT,,2026-02-19 03:40:06.757698,2026-02-19 03:40:06.757698,Revenue,Incidentals,Cleaning fees charged to guests when a vehicle is returned in an unacceptable condition. Paid to cleaning provider via 5022.,False,ACTIVE,False
51,,4023,Incidentals Revenue - Fuel,REVENUE,CREDIT,,2026-02-19 03:40:06.757699,2026-02-19 03:40:06.757699,Revenue,Incidentals,Fuel charges billed when a guest returns a vehicle with less fuel than at pickup. Host or guest is charged; guest may be refunded.,False,ACTIVE,False
52,,4024,Incidentals Revenue - Excess Mileage,REVENUE,CREDIT,,2026-02-19 03:40:06.757699,2026-02-19 03:40:06.757700,Revenue,Incidentals,Charges for kilometres driven beyond the included allowance in a booking. Billed to guest and partially passed through to host.,False,ACTIVE,False
53,,4025,Incidentals Revenue - Other,REVENUE,CREDIT,,2026-02-19 03:40:06.757700,2026-02-19 03:40:06.757700,Revenue,Incidentals,Catch-all for incidental charges that do not fall into the specific categories above (e.g. late return fees charged to guests).,False,ACTIVE,False
54,,4030,Insurance Recoveries,REVENUE,CREDIT,,2026-02-19 03:40:06.757701,2026-02-19 03:40:06.757701,Revenue,Insurance,Claim proceeds received from insurance companies for damage to vehicles. Separate from damage charged to guests (4021). Recorded as revenue when claim is approved and received.,False,ACTIVE,False
55,,5000,Host Payouts - P2P,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757701,2026-02-19 03:40:06.757702,Cost of Sales,Host Payouts,"Host's earnings share from P2P short-term bookings. Typically ~60% of GBV. This is the largest single cost component, paid to the car owner after trip completion.",False,ACTIVE,False
56,,5001,Host Payouts - P2P RMS,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757702,2026-02-19 03:40:06.757702,Cost of Sales,Host Payouts,Host's earnings share from P2P RMS bookings. Typically ~50% of GBV (lower than P2P regular due to 10% management fee). Paid to car owner after trip completion.,False,ACTIVE,False
58,,5003,Host Payouts - Flex+ RMS,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757703,2026-02-19 03:40:06.757704,Cost of Sales,Host Payouts,Host's earnings share from Flex+ RMS bookings. Lower payout percentage than Flex+ regular due to the management fee component.,False,ACTIVE,False
59,,5010,Payment Processing Fees,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757704,2026-02-19 03:40:06.757705,Cost of Sales,Payment Processing,"Fees charged by payment processors (e.g. Stripe) for processing guest payments, host payouts, and refunds. Typically 2-3% of transaction value.",False,ACTIVE,False
60,,5020,Incidentals Payout - Tolls,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757705,2026-02-19 03:40:06.757705,Cost of Sales,Incidentals Payouts,Toll charges reimbursed to hosts or paid to toll operators. The difference between toll revenue (4020) and this payout is the platform margin.,False,ACTIVE,False
61,,5021,Incidentals Payout - Damage (Host),COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757706,2026-02-19 03:40:06.757706,Cost of Sales,Incidentals Payouts,Compensation paid to hosts for vehicle damage caused by guests during a trip. Separate from workshop (5032) and insurance excess (5036) costs.,False,ACTIVE,False
62,,5022,Incidentals Payout - Cleaning,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757706,2026-02-19 03:40:06.757706,Cost of Sales,Incidentals Payouts,Payments to hosts or cleaning service providers for vehicle cleaning after a trip. Funded by cleaning charges to guests (4022).,False,ACTIVE,False
63,,5023,Incidentals Payout - Fuel,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757707,2026-02-19 03:40:06.757707,Cost of Sales,Incidentals Payouts,Fuel cost refunds paid to guests who filled fuel that the host should have provided. Recovered from host charges.,False,ACTIVE,False
64,,5024,Incidentals Payout - Excess Mileage,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757707,2026-02-19 03:40:06.757708,Cost of Sales,Incidentals Payouts,Excess mileage compensation paid to hosts for additional wear on their vehicle. Funded by excess mileage charges to guests (4024).,False,ACTIVE,False
65,,5025,Incidentals Payout - Other,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757708,2026-02-19 03:40:06.757708,Cost of Sales,Incidentals Payouts,Catch-all for miscellaneous incidental payouts to hosts or third parties not covered by specific incidental categories.,False,ACTIVE,False
66,,5030,Cost of Device Subscriptions,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757709,2026-02-19 03:40:06.757709,Cost of Sales,Subscription Costs,"Direct costs of providing the device subscription product: hardware purchase cost, SIM/data connectivity, and device maintenance. Matched against device subscription revenue (4010).",False,ACTIVE,False
67,,5031,Cost of Insurance - Subscription Premium,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757709,2026-02-19 03:40:06.757710,Cost of Sales,Insurance Costs,Insurance premiums paid to the insurer for providing the host insurance subscription product. Matched against insurance subscription revenue (4011).,False,ACTIVE,False
68,,5032,Incidentals Payout - Workshop,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757710,2026-02-19 03:40:06.757710,Cost of Sales,Incidentals Payouts,Payments to workshops and repair centres for vehicle damage repairs. Part of the total damage cost alongside host compensation (5021) and assessor fees (5034).,False,ACTIVE,False
69,,5033,Incidentals Payout - Towing,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757711,2026-02-19 03:40:06.757711,Cost of Sales,Incidentals Payouts,Payments to towing companies for vehicle recovery after breakdowns or accidents. May be partially recovered through insurance claims (4030).,False,ACTIVE,False
70,,5034,Incidentals Payout - Assessor,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757711,2026-02-19 03:40:06.757712,Cost of Sales,Incidentals Payouts,Fees paid to damage assessors for inspecting and reporting on vehicle damage. Required for insurance claims and dispute resolution.,False,ACTIVE,False
71,,5035,Cost of Insurance - Trip Premium,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757712,2026-02-19 03:40:06.757712,Cost of Sales,Insurance Costs,Insurance premium paid per trip to provide coverage for all bookings. This is a cost of doing business that applies across P2P/RMS/Flex+ equally.,False,ACTIVE,False
72,,5036,Cost of Insurance - Excess/Deductible,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757713,2026-02-19 03:40:06.757713,Cost of Sales,Insurance Costs,Insurance excess (deductible) amount paid to the insurer when making a damage claim. The portion of the claim the company must bear before insurance covers the rest.,False,ACTIVE,False
73,,5040,Host Payouts - Superhost,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757713,2026-02-19 03:40:06.757714,Cost of Sales,Host Programs,Bonus payments to hosts who achieve Superhost status based on ratings and performance metrics. An incentive program cost.,False,ACTIVE,False
74,,5041,Host Payouts - Sticker,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757714,2026-02-19 03:40:06.757714,Cost of Sales,Host Programs,Payments to hosts who display Drive Lah branding stickers on their vehicles. A marketing-related host incentive.,False,ACTIVE,False
75,,5042,Host Payouts - Misc,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757715,2026-02-19 03:40:06.757715,Cost of Sales,Host Programs,Miscellaneous payments to hosts that do not fit into specific payout categories (e.g. goodwill payments or ad-hoc compensations).,False,ACTIVE,False
76,,5043,Host Payouts - Downtime,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757715,2026-02-19 03:40:06.757716,Cost of Sales,Host Programs,Compensation paid to hosts when their vehicle is unavailable due to platform-related issues (e.g. repairs from guest damage or operational holds).,False,ACTIVE,False
77,,5044,Host Payouts - Late Return,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757716,2026-02-19 03:40:06.757716,Cost of Sales,Host Programs,Compensation paid to hosts when a guest returns the vehicle late and the host incurs inconvenience or lost booking opportunity.,False,ACTIVE,False
78,,5050,Monthly Discounts,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757717,2026-02-19 03:40:06.757717,Cost of Sales,Discounts & Refunds,"Promotional discounts applied to trip bookings (e.g. first-trip discounts, seasonal promotions, loyalty discounts). Reduces effective revenue.",False,ACTIVE,False
79,,5051,Chargebacks,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757717,2026-02-19 03:40:06.757718,Cost of Sales,Discounts & Refunds,Payment chargebacks initiated by guests through their bank or credit card company. Includes the chargeback amount plus any processor fees.,False,ACTIVE,False
80,,5052,Refunds - Trip,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757718,2026-02-19 03:40:06.757718,Cost of Sales,Discounts & Refunds,"Trip booking refunds issued to guests for cancellations, service issues, or disputes. Reduces effective revenue from GBV.",False,ACTIVE,False
81,,5053,Refunds - Incidentals,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757719,2026-02-19 03:40:06.757719,Cost of Sales,Discounts & Refunds,Refunds of incidental charges (tolls/damage/cleaning/fuel/mileage) issued to guests after dispute resolution or reassessment.,False,ACTIVE,False
82,,5054,Refunds - Device Subscription,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757719,2026-02-19 03:40:06.757720,Cost of Sales,Discounts & Refunds,Refunds of device subscription fees to hosts (e.g. for cancellations or service issues with the device).,False,ACTIVE,False
83,,5055,Refunds - Insurance Subscription,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757720,2026-02-19 03:40:06.757720,Cost of Sales,Discounts & Refunds,Refunds of insurance subscription fees to hosts (e.g. for cancellations or policy changes).,False,ACTIVE,False
84,,5060,Parking - RMS Fleet,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757721,2026-02-19 03:40:06.757721,Cost of Sales,Operations,Parking costs for RMS-managed fleet vehicles including monthly parking subscriptions and ad-hoc parking charges.,False,ACTIVE,False
114,,6600,Bank Fees,EXPENSE,DEBIT,,2026-02-19 03:40:06.757742,2026-02-19 03:40:06.757742,Operating Expenses,Banking,"Bank account maintenance fees, transaction fees, wire transfer charges, and other banking service costs.",False,ACTIVE,False
85,,5061,On-Ground Team - Salary,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757721,2026-02-19 03:40:06.757722,Cost of Sales,Operations,"Salaries for the on-ground operations team who perform device installations, vehicle relocations, cleaning coordination, workshop runs, and customer handovers.",False,ACTIVE,False
86,,5062,On-Ground Team - Expenses,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757722,2026-02-19 03:40:06.757722,Cost of Sales,Operations,"Out-of-pocket expenses incurred by the on-ground team including fuel/mileage reimbursement, parking during tasks, and incidental costs while on the job.",False,ACTIVE,False
87,,5063,Customer Support - Salary,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757723,2026-02-19 03:40:06.757723,Cost of Sales,Operations,"Salaries for the customer support team handling guest and host enquiries, trip issues, and dispute resolution.",False,ACTIVE,False
88,,5066,Warehousing Costs,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757723,2026-02-19 03:40:06.757724,Cost of Sales,Operations,Rent and operating costs for the warehouse used to store devices and fleet equipment before deployment.,False,ACTIVE,False
89,,5064,Cost of Device - Installation,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757724,2026-02-19 03:40:06.757724,Cost of Sales,Device Costs,"Labour and material costs for installing in-car devices in host vehicles. Includes technician time, wiring, and mounting hardware.",False,ACTIVE,False
90,,5065,Cost of Device - Courier/Shipping,COST_OF_SALES,DEBIT,,2026-02-19 03:40:06.757725,2026-02-19 03:40:06.757725,Cost of Sales,Device Costs,Courier and shipping costs to deliver devices to hosts or installation locations when on-site installation is not possible.,False,ACTIVE,False
91,,6000,Salaries & Wages,EXPENSE,DEBIT,,2026-02-19 03:40:06.757725,2026-02-19 03:40:06.757726,Operating Expenses,Payroll,"Gross salaries and wages for corporate/admin staff (tech, product, finance, management). Excludes on-ground team (5061) and customer support (5063) which are COS.",False,ACTIVE,False
92,,6001,Employer CPF (SG),EXPENSE,DEBIT,,2026-02-19 03:40:06.757726,2026-02-19 03:40:06.757726,Operating Expenses,Payroll,"Singapore employer's Central Provident Fund contribution (currently 17% for employees under 55). Statutory cost on top of gross salary, paid to CPF Board monthly.",False,ACTIVE,False
93,,6002,Employer Superannuation (AU),EXPENSE,DEBIT,,2026-02-19 03:40:06.757727,2026-02-19 03:40:06.757727,Operating Expenses,Payroll,"Australian employer superannuation guarantee contribution (currently 11.5%). Statutory cost on top of gross salary, paid to employee's super fund quarterly.",False,ACTIVE,False
94,,6003,Directors Salary,EXPENSE,DEBIT,,2026-02-19 03:40:06.757727,2026-02-19 03:40:06.757728,Operating Expenses,Payroll,Remuneration paid to company directors. Tracked separately from staff salaries for disclosure requirements and corporate governance reporting.,False,ACTIVE,False
95,,6010,Employee Claims - Travel,EXPENSE,DEBIT,,2026-02-19 03:40:06.757728,2026-02-19 03:40:06.757728,Operating Expenses,Employee Claims,"Reimbursements for employee travel expenses (flights, accommodation, transport) incurred for business purposes. Claimed via expense report, held in 2303 until paid.",False,ACTIVE,False
96,,6011,Employee Claims - Meals,EXPENSE,DEBIT,,2026-02-19 03:40:06.757730,2026-02-19 03:40:06.757731,Operating Expenses,Employee Claims,Reimbursements for employee meal expenses incurred during business travel or client meetings. Subject to company expense policy limits.,False,ACTIVE,False
97,,6012,Employee Claims - Transport,EXPENSE,DEBIT,,2026-02-19 03:40:06.757731,2026-02-19 03:40:06.757731,Operating Expenses,Employee Claims,"Reimbursements for local transport expenses (taxi, ride-share, public transport) incurred for business purposes.",False,ACTIVE,False
98,,6013,Employee Claims - Office Supplies,EXPENSE,DEBIT,,2026-02-19 03:40:06.757732,2026-02-19 03:40:06.757732,Operating Expenses,Employee Claims,Reimbursements for office supplies purchased by employees on behalf of the company (e.g. stationery or small equipment).,False,ACTIVE,False
99,,6014,Employee Claims - Other,EXPENSE,DEBIT,,2026-02-19 03:40:06.757732,2026-02-19 03:40:06.757733,Operating Expenses,Employee Claims,Catch-all for employee expense reimbursements that do not fit into specific claim categories above.,False,ACTIVE,False
100,,6100,Marketing - Digital Advertising,EXPENSE,DEBIT,,2026-02-19 03:40:06.757733,2026-02-19 03:40:06.757733,Operating Expenses,Marketing,"Spend on digital advertising channels to acquire new guests and hosts (e.g. Google Ads, Facebook Ads, Instagram, TikTok). The primary customer acquisition cost.",False,ACTIVE,False
101,,6101,Marketing - Branding,EXPENSE,DEBIT,,2026-02-19 03:40:06.757734,2026-02-19 03:40:06.757734,Operating Expenses,Marketing,"Branding and brand awareness spend including brand campaigns, PR activities, and brand refresh projects. Not direct acquisition.",False,ACTIVE,False
102,,6102,Marketing - Partnerships,EXPENSE,DEBIT,,2026-02-19 03:40:06.757734,2026-02-19 03:40:06.757735,Operating Expenses,Marketing,"Costs related to marketing partnerships, co-marketing arrangements, and affiliate programs with external partners.",False,ACTIVE,False
103,,6103,Marketing - Asset Creation,EXPENSE,DEBIT,,2026-02-19 03:40:06.757735,2026-02-19 03:40:06.757735,Operating Expenses,Marketing,"Production costs for marketing creative assets: photography, videography, graphic design, and copywriting.",False,ACTIVE,False
104,,6104,Marketing - Agency Fees,EXPENSE,DEBIT,,2026-02-19 03:40:06.757736,2026-02-19 03:40:06.757736,Operating Expenses,Marketing,Fees paid to external marketing agencies for campaign management and marketing strategy services.,False,ACTIVE,False
105,,6200,HR - Recruitment,EXPENSE,DEBIT,,2026-02-19 03:40:06.757736,2026-02-19 03:40:06.757736,Operating Expenses,HR,"Recruitment costs including agency fees, job board advertising, background checks, and hiring-related expenses.",False,ACTIVE,False
