disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
covered-by-counterparty,mined: uber trip sydney au card xx value date,DL AU,contains,uber trip sydney au card xx value date,,,23,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'uber' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: omnitas dev stockholm se card xx usd value date,DL AU,contains,omnitas dev stockholm se card xx usd value date,,,22,95.5,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'omnitas' — its arbitrated default governs; a rule would override it
rule,mined: sq spaces sydney au,DL AU,contains,sq spaces sydney au,6400,Travel - Tickets,19,100.0,Operating Expenses:Travel Expense,yes,
covered-by-counterparty,mined: claude ai subscription anthropic com ca us card,DL AU,contains,claude ai subscription anthropic com ca us card,,,18,94.4,Subscriptions/ Software expenses,yes,pattern names party 'anthropic' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: rightworks www rightwork nh us card xx usd value,DL AU,contains,rightworks www rightwork nh us card xx usd value,,,17,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'rightworks' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sourcegraph com sourcegraph c ca us card xx aud,DL AU,contains,sourcegraph com sourcegraph c ca us card xx aud,,,15,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'sourcegraph' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: card transaction of usd issued by cursor usage m,DL AU,contains,card transaction of usd issued by cursor usage m,,,15,93.3,Subscriptions/ Software expenses,yes,pattern names party 'cursor' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: notion labs inc notion so ca us card xx usd valu,DL AU,contains,notion labs inc notion so ca us card xx usd valu,,,14,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'notion' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: card transaction of aud issued by drive mate mel,DL AU,contains,card transaction of aud issued by drive mate mel,,,14,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: angel investment twickenham gb card xx aud value,DL AU,contains,angel investment twickenham gb card xx aud value,,,13,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'angel investment network' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: circleci com circleci com ca us card xx usd valu,DL AU,contains,circleci com circleci com ca us card xx usd valu,,,13,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'circleci' — its arbitrated default governs; a rule would override it
dropped:label-unapproved,mined: stripe customer,DL AU,contains,stripe customer,,,12,100.0,11111 Receivable from Guests,yes,bridge flag=review; approve label first
covered-by-counterparty,mined: microsoft g msbill info sg card xx usd value dat,DL AU,contains,microsoft g msbill info sg card xx usd value dat,,,12,100.0,Subscriptions/ Software expenses,yes,pattern names party 'microsoft' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: edreams prime m sydney au card xx value date,DL AU,contains,edreams prime m sydney au card xx value date,,,12,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'edreams' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: direct debit veda advantage,DL AU,contains,direct debit veda advantage,,,12,100.0,Operating Expenses:Technology System Costs,yes,pattern names party 'veda advantage' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: stonly com rue chapt fr card xx usd value date,DL AU,contains,stonly com rue chapt fr card xx usd value date,,,11,100.0,Operating Expenses:Technology System Costs,yes,pattern names party 'stonly' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: lovable lovable dev de us card xx usd value date,DL AU,contains,lovable lovable dev de us card xx usd value date,,,10,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'lovable' — its arbitrated default governs; a rule would override it
rule,mined: bus mrt singapore sg card xx sgd value date,DL AU,contains,bus mrt singapore sg card xx sgd value date,6400,Travel - Tickets,10,100.0,Operating Expenses:Travel Expense,yes,
covered-by-counterparty,mined: mycar tyre auto sydney au card xx value date,DL AU,contains,mycar tyre auto sydney au card xx value date,,,10,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'mycar' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: stonly com stonly com ny us card xx usd value da,DL AU,contains,stonly com stonly com ny us card xx usd value da,,,10,100.0,Operating Expenses:Technology System Costs,yes,pattern names party 'stonly' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: infotracer com ma us card xx usd value date,DL AU,contains,infotracer com ma us card xx usd value date,,,10,90.0,Operating Expenses:Technology System Costs,yes,pattern names party 'infotracer.com' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: post gordon ps gordon au card xx value date,DL AU,contains,post gordon ps gordon au card xx value date,,,8,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: direct credit global transport,DL AU,contains,direct credit global transport,,,8,100.0,Other Income,yes,per-line resolution via counterparty defaults
dropped:self-or-ic-pattern,mined: drive mate value date,DL AU,contains,drive mate value date,,,8,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: uber trip,DL AU,contains,uber trip,,,8,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'uber' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: transfer to jetstar airways pty ltd payid email,DL AU,contains,transfer to jetstar airways pty ltd payid email,,,8,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'jetstar' — its arbitrated default governs; a rule would override it
rule,mined: card transaction of aud issued by didimobility s,DL AU,contains,card transaction of aud issued by didimobility s,6400,Travel - Tickets,8,100.0,Operating Expenses:Travel Expense,yes,
covered-by-counterparty,mined: vercel inc vercel com ca us card xx usd value da,DL AU,contains,vercel inc vercel com ca us card xx usd value da,,,7,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'vercel' — its arbitrated default governs; a rule would override it
rule,mined: creditline netbank bpay xxxxxxxxxxxx laptop,DL AU,contains,creditline netbank bpay xxxxxxxxxxxx laptop,1500,Computer & Peripherals,7,100.0,Computer at Cost,yes,
covered-by-counterparty,mined: render com render com ca us card xx usd value da,DL AU,contains,render com render com ca us card xx usd value da,,,7,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'render' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: transportfornsw tap sydney au card xx,DL AU,contains,transportfornsw tap sydney au card xx,,,7,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'transport for nsw' — its arbitrated default governs; a rule would override it
rule,mined: hotel at booking com amsterdam nl card xx sgd va,DL AU,contains,hotel at booking com amsterdam nl card xx sgd va,6400,Travel - Tickets,7,100.0,Operating Expenses:Travel Expense,yes,
dropped:label-is-SPLIT,mined: racq netbank bpay inv fti,DL AU,contains,racq netbank bpay inv fti,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: transfer to the fleet dr netbank inv dated,DL AU,contains,transfer to the fleet dr netbank inv dated,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: transfer to abc debt services pty ltd netbank in,DL AU,contains,transfer to abc debt services pty ltd netbank in,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
rule,mined: didichuxing didiau pendin sydney au card xx valu,DL AU,contains,didichuxing didiau pendin sydney au card xx valu,6400,Travel - Tickets,7,100.0,Operating Expenses:Travel Expense,yes,
dropped:label-is-SPLIT,mined: voided transfer to abc debt services pty ltd net,DL AU,contains,voided transfer to abc debt services pty ltd net,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: voided stonly com rue chapt fr card xx usd value,DL AU,contains,voided stonly com rue chapt fr card xx usd value,,,7,100.0,Operating Expenses:Technology System Costs,yes,pattern names party 'stonly' — its arbitrated default governs; a rule would override it
rule,mined: vl,DL AU,contains,vl,5035,Cost of Insurance - Trip Premium,7,100.0,Cost of Service:Insurance,yes,
covered-by-counterparty,mined: wispr wisprflow ai ca us card xx usd value date,DL AU,contains,wispr wisprflow ai ca us card xx usd value date,,,6,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'wispr flow' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: supabase singapore sg card xx usd value date,DL AU,contains,supabase singapore sg card xx usd value date,,,6,100.0,Subscriptions/ Software expenses,yes,pattern names party 'supabase' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: direct credit ato ato,DL AU,contains,direct credit ato ato,,,6,100.0,Other Income,yes,per-line resolution via counterparty defaults
rule,mined: transfer to benjamin gotto smith commbank app dm,DL AU,contains,transfer to benjamin gotto smith commbank app dm,6501,Legal Fees,6,100.0,Operating Expenses:Corporate - Legal and professional fees,yes,
dropped:label-is-SPLIT,mined: voided transfer to ted commbank app installation,DL AU,contains,voided transfer to ted commbank app installation,,,6,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: transfer to ted commbank app installation,DL AU,contains,transfer to ted commbank app installation,,,6,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-unapproved,mined: humax,DL AU,contains,humax,,,6,100.0,Cost of Overhead Related to Service:In-car Running Costs,yes,bridge flag=review; approve label first
covered-by-counterparty,mined: apify inv prague cz card xx usd value date,DL AU,contains,apify inv prague cz card xx usd value date,,,5,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'apify' — its arbitrated default governs; a rule would override it
dropped:label-unapproved,mined: fast transfer from fin nor holdings limi credit,DL AU,contains,fast transfer from fin nor holdings limi credit,,,5,100.0,Loan,yes,bridge flag=review; approve label first
covered-by-counterparty,mined: uber australia pty ltd,DL AU,contains,uber australia pty ltd,,,5,100.0,Operating Expenses:Travel Expense,yes,pattern names party 'uber' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: drive mate melbourne au card xx value date auto,DL AU,contains,drive mate melbourne au card xx value date auto,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: claude ai subscription httpswww anth ca us card,DL AU,contains,claude ai subscription httpswww anth ca us card,,,5,100.0,"Operating Expenses:AI, Internet & Website maintenance fees",yes,pattern names party 'claude.ai' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: transfer to granville collision centre netbank i,DL AU,contains,transfer to granville collision centre netbank i,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
