id,source_system,type,source_ref,title,summary,body,risk,amount,currency,assignee_user_id,assignee_role,status,priority,due_at,created_by,created_at,acted_by,acted_at,action_taken,notes
175,finance,invoice-intake-review,invoice:2507,"Review auto-ingested draft — Experian Australia Operations Pty Ltd · AUD 3,303.30","Draft #2507 auto-created from finance@ (Invoice Number 404381109188 for Customer Number GP-391790 from Experian). Verify fields, then submit for approval.","{'invoice_id': 2507, 'filename': 'AU-404381109188.pdf', 'from': 'aunz_billings@experian.com', 'subject': 'Invoice Number 404381109188 for Customer Number GP-391790 from Experian', 'doc_type': 'invoice'}",,3303.30,AUD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:08.175812,,,,
177,finance,invoice-intake-review,invoice:2509,"⚠ Likely statement — recommend VOID — Onfido · USD 7,363.26","Draft #2509 auto-created from finance@ (Your Usage Statement). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2509, 'filename': 'Usage_Statement_CON11911_20260805.pdf', 'from': '""Onfido Billing (accountsreceivable@entrust.com)"" <system@sent-via.netsuite.com>', 'subject': 'Your Usage Statement', 'doc_type': 'statement'}",,7363.26,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:08.304285,,,,
178,finance,invoice-intake-review,invoice:2510,Review auto-ingested draft — KORE Wireless Inc. · USD 346.33,"Draft #2510 auto-created from finance@ (Your KORE Wireless Invoice (KWI202303477235)). Verify fields, then submit for approval.","{'invoice_id': 2510, 'filename': 'KWI202303477235.pdf', 'from': 'KORE Billing <KoreBilling@korewireless.com>', 'subject': 'Your KORE Wireless Invoice (KWI202303477235)', 'doc_type': 'invoice'}",,346.33,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:09.135173,,,,
179,finance,invoice-intake-review,invoice:2511,"Review auto-ingested draft — Onfido · USD 4,010.49","Draft #2511 auto-created from finance@ (Invoice INVSGP14085 from Onfido PTE Ltd (Singapore)). Verify fields, then submit for approval.","{'invoice_id': 2511, 'filename': 'Invoice_CON11911_INVSGP14085.pdf', 'from': '""Onfido Billing (accountsreceivable@entrust.com)"" <system@sent-via.netsuite.com>', 'subject': 'Invoice INVSGP14085 from Onfido PTE Ltd (Singapore)', 'doc_type': 'invoice'}",,4010.49,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:09.193977,,,,
174,finance,invoice-intake-review,invoice:2506,"Review auto-ingested draft — Thinxtra · AUD 15,064.63","Draft #2506 auto-created from finance@ (Invoice INV-3190809 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd). Verify fields, then submit for approval.","{'invoice_id': 2506, 'filename': 'Invoice INV-3190809.pdf', 'from': 'Accounts Receivables <messaging-service@post.xero.com>', 'subject': 'Invoice INV-3190809 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd', 'doc_type': 'invoice'}",,15064.63,AUD,,finance.invoices,cancelled,0,,penny-mail-intake,2026-08-15 11:27:07.377596,Gaurav Singhal,2026-08-17 07:30:01.750693,void,delete
169,finance,invoice-intake-review,invoice:2501,"⚠ Likely statement — recommend VOID — Thinxtra · AUD 81,134.34","Draft #2501 auto-created from finance@ (Statement from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2501, 'filename': 'Statement for Drive Iah Australia Pty Ltd  As At 13Aug2026.pdf', 'from': 'Accounts Receivables <messaging-service@post.xero.com>', 'subject': 'Statement from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd', 'doc_type': 'statement'}",,81134.34,AUD,,finance.invoices,cancelled,0,,penny-mail-intake,2026-08-15 11:27:05.634606,Gaurav Singhal,2026-08-17 07:30:10.939919,void,delete
168,finance,invoice-intake-review,invoice:2500,"⚠ Likely statement — recommend VOID — Thinxtra · AUD 81,519.53","Draft #2500 auto-created from finance@ (Fwd: [AR] Invoice INV-3190685 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2500, 'filename': 'Statement for Drive Iah Australia Pty Ltd  As At 14Aug2026.pdf', 'from': 'Helen Wang <helen.wang@thinxtra.com>', 'subject': 'Fwd: [AR] Invoice INV-3190685 from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd', 'doc_type': 'statement'}",,81519.53,AUD,,finance.invoices,cancelled,0,,penny-mail-intake,2026-08-15 11:27:05.562146,Gaurav Singhal,2026-08-17 07:30:28.199284,void,delete
180,finance,invoice-intake-review,invoice:2512,"⚠ Likely legal — recommend VOID — Collins & Stephens Lawyers · AUD 18,566.91","Draft #2512 auto-created from finance@ (Cartrek Australia Pty Ltd T/As ISS First Response-v- Drive Mate). Classifier says this is a legal, not an invoice — verify and void.","{'invoice_id': 2512, 'filename': 'Legal Letter - 7 day demand (by email).pdf', 'from': 'Haydn Barnes <haydn.barnes@collinsandstephens.com.au>', 'subject': 'Cartrek Australia Pty Ltd T/As ISS First Response-v- Drive Mate', 'doc_type': 'legal'}",,18566.91,AUD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:11.723957,,,,
181,finance,invoice-intake-review,invoice:2513,"Review auto-ingested draft — Altimobility Corp · USD 10,000.00","Draft #2513 auto-created from finance@ ([Alti-mobility] Monthly report and invoice July 2026). Verify fields, then submit for approval.","{'invoice_id': 2513, 'filename': 'AlMo_invoice_Drivemate_OTOPLUG_July(2026_07_31).pdf', 'from': '""권준철"" <jc.kweon@alti-mobility.com>', 'subject': '[Alti-mobility] Monthly report and invoice July 2026', 'doc_type': 'invoice'}",,10000.00,USD,,finance.invoices,open,0,,penny-mail-intake,2026-08-15 11:27:13.696829,,,,
176,finance,invoice-intake-review,invoice:2508,"⚠ Likely statement — recommend VOID — Thinxtra · AUD 66,069.71","Draft #2508 auto-created from finance@ (Statement from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd). Classifier says this is a statement, not an invoice — verify and void.","{'invoice_id': 2508, 'filename': 'Statement for Drive Iah Australia Pty Ltd  As At 07Aug2026.pdf', 'from': 'Accounts Receivables <messaging-service@post.xero.com>', 'subject': 'Statement from Thinxtra Solutions Pty Ltd for Drive Iah Australia Pty Ltd', 'doc_type': 'statement'}",,66069.71,AUD,,finance.invoices,cancelled,0,,penny-mail-intake,2026-08-15 11:27:08.240484,Gaurav Singhal,2026-08-17 07:29:53.143184,void,delete
