COA Code,Account Name,What it means (plain English),Type,Threshold for Approver else auto approve (in SGD),Approver 1 (name/email),Approver 2 (name/email — blank = single approval),"2nd approver needed above (SGD, blank = follow default)",Needs Trip ID? (Y/N),Needs Intercom Ticket ID? (Y/N),Other mandatory info (free text),Auto-approve OK once trusted? (Y/N),Notes
5040,Host Payouts - Superhost,Bonus payments to hosts who achieve Superhost status based on ratings and performance metrics. An incentive program cost.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5041,Host Payouts - Sticker,Payments to hosts who display Drive Lah branding stickers on their vehicles. A marketing-related host incentive.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5042,Host Payouts - Misc,Miscellaneous payments to hosts that do not fit into specific payout categories (e.g. goodwill payments or ad-hoc compensations).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5043,Host Payouts - Downtime,Compensation paid to hosts when their vehicle is unavailable due to platform-related issues (e.g. repairs from guest damage or operational holds).,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5044,Host Payouts - Late Return,Compensation paid to hosts when a guest returns the vehicle late and the host incurs inconvenience or lost booking opportunity.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5050,Host Discounts,"Discounts car owners/hosts give on their own REGULAR rentals (e.g. longer-booking discounts; payoutType long_term_discount). Recovered from the host — reduces host payables (2120). Cost-of-sales contra. NOT Flex+; NOT company/promo discounts (those are revenue-side, net of revenue). Ref FLOW-27.",Cost of Sales,,NA,NA,,,,,,
5051,Chargebacks,Payment chargebacks initiated by guests through their bank or credit card company. Includes the chargeback amount plus any processor fees.,Cost of Sales,,NA,NA,,,,,,
5052,Refunds - Trip,"Trip booking refunds issued to guests for cancellations, service issues, or disputes. Reduces effective revenue from GBV.",Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5053,Refunds - Incidentals,Refunds of incidental charges (tolls/damage/cleaning/fuel/mileage) issued to guests after dispute resolution or reassessment.,Cost of Sales,,,,,Y,Y,,,suggested from account type — please confirm/adjust
5054,Refunds - Device Subscription,Refunds of device subscription fees to hosts (e.g. for cancellations or service issues with the device).,Cost of Sales,,,,,,,,,
5055,Refunds - Insurance Subscription,Refunds of insurance subscription fees to hosts (e.g. for cancellations or policy changes).,Cost of Sales,,,,,,,,,
5060,Parking - RMS Fleet,Parking costs for RMS-managed fleet vehicles including monthly parking subscriptions and ad-hoc parking charges.,Cost of Sales,,,,,,,,,
5061,On-Ground Team - Salary,"Salaries for the on-ground operations team who perform device installations, vehicle relocations, cleaning coordination, workshop runs, and customer handovers.",Cost of Sales,,,,,,,,,
5062,On-Ground Team - Expenses,"Out-of-pocket expenses incurred by the on-ground team including fuel/mileage reimbursement, parking during tasks, and incidental costs while on the job.",Cost of Sales,,,,,,,,,
5063,Customer Support - Salary,"Salaries for the customer support team handling guest and host enquiries, trip issues, and dispute resolution.",Cost of Sales,Part of payroll run,NA,NA,,,,,,
5064,Cost of Device - Installation,"Labour and material costs for installing in-car devices in host vehicles. Includes technician time, wiring, and mounting hardware.",Cost of Sales,,,,,,,,,
5065,Cost of Device - Courier/Shipping,Courier and shipping costs to deliver devices to hosts or installation locations when on-site installation is not possible.,Cost of Sales,,,,,,,,,
5066,Warehousing Costs,Rent and operating costs for the warehouse used to store devices and fleet equipment before deployment.,Cost of Sales,,,,,,,,,
6000,Salaries & Wages,"Gross salaries and wages for corporate/admin staff (tech, product, finance, management). Excludes on-ground team (5061) and customer support (5063) which are COS.",Expense,Part of payroll run,NA,NA,,,,,,
6001,Employer CPF (SG),"Singapore employer's Central Provident Fund contribution (currently 17% for employees under 55). Statutory cost on top of gross salary, paid to CPF Board monthly.",Expense,,,,,,,,,
6002,Employer Superannuation (AU),"Australian employer superannuation guarantee contribution (currently 11.5%). Statutory cost on top of gross salary, paid to employee's super fund quarterly.",Expense,Part of payroll run,NA,NA,,,,,,
6003,Directors Salary,Remuneration paid to company directors. Tracked separately from staff salaries for disclosure requirements and corporate governance reporting.,Expense,Part of payroll run,NA,NA,,,,,,
6004,Staff Health Insurance,Health insurance premiums for the team (e.g. PH remote staff via Care Corporation).,Expense,,,,,,,,,
6010,Employee Claims - Travel,"Reimbursements for employee travel expenses (flights, accommodation, transport) incurred for business purposes. Claimed via expense report, held in 2303 until paid.",Expense,"As per employee's claim policy, require manager's approval",NA,NA,,,,,,
6011,Employee Claims - Meals,Reimbursements for employee meal expenses incurred during business travel or client meetings. Subject to company expense policy limits.,Expense,"As per employee's claim policy, require manager's approval",NA,NA,,,,,,
6012,Employee Claims - Transport,"Reimbursements for local transport expenses (taxi, ride-share, public transport) incurred for business purposes.",Expense,"As per employee's claim policy, require manager's approval",NA,NA,,,,,,
6013,Employee Claims - Office Supplies,Reimbursements for office supplies purchased by employees on behalf of the company (e.g. stationery or small equipment).,Expense,"As per employee's claim policy, require manager's approval",NA,NA,,,,,,
6014,Employee Claims - Other,Catch-all for employee expense reimbursements that do not fit into specific claim categories above.,Expense,"As per employee's claim policy, require manager's approval",NA,NA,,,,,,
6100,Marketing - Digital Advertising,"Spend on digital advertising channels to acquire new guests and hosts (e.g. Google Ads, Facebook Ads, Instagram, TikTok). The primary customer acquisition cost.",Expense,,,,,,,,,
6101,Marketing - Branding,"Branding and brand awareness spend including brand campaigns, PR activities, and brand refresh projects. Not direct acquisition.",Expense,,,,,,,,,
6102,Marketing - Partnerships,"Costs related to marketing partnerships, co-marketing arrangements, and affiliate programs with external partners.",Expense,,,,,,,,,
6103,Marketing - Asset Creation,"Production costs for marketing creative assets: photography, videography, graphic design, and copywriting.",Expense,,,,,,,,,
6104,Marketing - Agency Fees,Fees paid to external marketing agencies for campaign management and marketing strategy services.,Expense,,,,,,,,,
6200,HR - Recruitment,"Recruitment costs including agency fees, job board advertising, background checks, and hiring-related expenses.",Expense,,,,,,,,,
6300,Office Rent,Monthly office rental payments. Includes base rent and any common area maintenance charges.,Expense,,,,,,,,,
6310,Office Equipment,"Small office equipment purchases below the capitalisation threshold (e.g. keyboards, headsets, cables). Items above threshold go to 1500.",Expense,,,,,,,,,
6400,Travel - Tickets,Business travel flight and rail tickets for staff. Distinct from employee claims (6010) as these may be booked centrally by the company.,Expense,,,,,,,,,
6401,Travel - Meals,Company-paid meals during business travel or team events. Distinct from employee claims (6011) as these may be company-card purchases.,Expense,,,,,,,,,
6402,Entertainment,"Client entertainment, team social events, and team-building activities.",Expense,,,,,,,,,
6500,Accounting & Bookkeeping Fees,"Fees paid to external accountants, bookkeepers, and audit firms for financial reporting, tax preparation, and compliance services.",Expense,,,,,,,,,
6501,Legal Fees,"Fees paid to law firms and legal advisors for corporate legal matters, contract review, disputes, and regulatory compliance.",Expense,,,,,,,,,
6502,Fines & Penalties,"Regulatory fines, late payment penalties, and other punitive charges from government bodies or business partners.",Expense,,,,,,,,,
6600,Bank Fees,"Bank account maintenance fees, transaction fees, wire transfer charges, and other banking service costs.",Expense,,,,,,,,,
6700,Technology - Infrastructure,"Cloud hosting costs (AWS, GCP, etc.), server infrastructure, CDN, database hosting, and DevOps tooling.",Expense,,,,,,,,,
6701,Technology - Software Subscriptions,"SaaS subscriptions for business tools (e.g. Slack, Jira, GitHub, analytics platforms, CRM). Monthly or annual licence fees.",Expense,,Aman,Gaurav,,,,,,
6702,Technology - Platform Testing,Test charges on our own platforms (Drive lah / Drive mate test bookings on company cards). Own trading name is never a counterparty (ENT-3/ENT-5).,Expense,,,,,,,,,
7100,Foreign Exchange Gains/Losses,"Realised and unrealised gains or losses from foreign currency transactions and balance sheet translation (e.g. AUD to SGD conversion). Debit for losses, credit for gains.",Expense,,,,,,,,,
7300,Depreciation - Computer & Equipment,Periodic depreciation expense charged to P&L for Computer & Peripherals (1500). The other side of the entry goes to Accum Depr (1600).,Expense,,NA,NA,,,,,,
7301,Depreciation - In-Car Devices,Periodic depreciation expense charged to P&L for Hardware Devices (1510). The other side of the entry goes to Accum Depr (1610).,Expense,,NA,NA,,,,,,
7400,Amortisation - Technology Development,Periodic amortisation expense charged to P&L for capitalised Technology Development (1710). The other side of the entry goes to Accum Amort (1810).,Expense,,NA,NA,,,,,,
7401,Amortisation - Brand,Periodic amortisation expense charged to P&L for capitalised Brand assets (1700). The other side of the entry goes to Accum Amort (1800).,Expense,,NA,NA,,,,,,
9000,Income Tax Expense,"Corporate income tax expense for the period (17% for Singapore, 25% for Australia). Calculated on taxable profit after all allowable deductions.",Expense,,,,,,,,,
