disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
dropped:label-is-SPLIT,mined: debit purchase xx sharetribe com hel,DL SG,contains,debit purchase xx sharetribe com hel,,,36,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: zilla marie cenido,DL SG,contains,zilla marie cenido,,,34,91.2,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: biz giro,DL SG,contains,biz giro,,,33,93.9,Other Operating Expenses:Human Resource - CPF Contribution,covered,
dropped:label-is-SPLIT,mined: xx twilio sendgrid san debit purchase,DL SG,contains,xx twilio sendgrid san debit purchase,,,33,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: to tow lah pte ltd general nan auto categorized,DL SG,contains,to tow lah pte ltd general nan auto categorized,,,33,100.0,Cost of Overhead Related to Service:Operating Expenses:Towing,yes,pattern names party 'towlah' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: trixie mauricio coronel,DL SG,contains,trixie mauricio coronel,,,32,93.8,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: xx anthropic san debit purchase auto categorized,DL SG,contains,xx anthropic san debit purchase auto categorized,,,30,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'anthropic' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx google cloud f q sin debit purchase,DL SG,contains,xx google cloud f q sin debit purchase,,,29,96.6,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx openai chatgpt subscr san debit purchase,DL SG,contains,xx openai chatgpt subscr san debit purchase,,,29,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'chatgpt' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: ralph efrenson s eronga,DL SG,contains,ralph efrenson s eronga,,,28,96.4,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:label-is-SPLIT,mined: debit purchase xx calendly,DL SG,contains,debit purchase xx calendly,,,28,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx google storage sin debit purchase,DL SG,contains,xx google storage sin debit purchase,,,27,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: tow lah sg recovery tow lah sg recovery,DL SG,contains,tow lah sg recovery tow lah sg recovery,,,27,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx google ads sin debit purchase auto categorize,DL SG,contains,xx google ads sin debit purchase auto categorize,,,27,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx google google storage sin,DL SG,contains,debit purchase xx google google storage sin,,,25,96.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: ng cheng leng inv,DL SG,contains,ng cheng leng inv,,,25,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx dnh godaddy com sgd debit purchase,DL SG,contains,xx dnh godaddy com sgd debit purchase,,,25,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx dnh godaddy com,DL SG,contains,debit purchase xx dnh godaddy com,,,24,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx twillio,DL SG,contains,xx twillio,,,23,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx amazon web services sin debit purchase,DL SG,contains,xx amazon web services sin debit purchase,,,23,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: john aries hernandez,DL SG,contains,john aries hernandez,,,23,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: debit purchasexx google ads,DL SG,contains,debit purchasexx google ads,,,22,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx notion labs inc san debit purchase,DL SG,contains,xx notion labs inc san debit purchase,,,22,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: vishal raj,DL SG,contains,vishal raj,,,22,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: debit purchasexx upwork ref,DL SG,contains,debit purchasexx upwork ref,,,21,90.5,Accrued Expense,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: noraisa domado,DL SG,contains,noraisa domado,,,21,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: ratan b ratan,DL SG,contains,ratan b ratan,,,21,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: syed sharim iqbal syed sharim iqbal,DL SG,contains,syed sharim iqbal syed sharim iqbal,,,21,90.5,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'sharim iqbal' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: tow lah sg recovery,DL SG,contains,tow lah sg recovery,,,21,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: usd debit purchasexx twilio sanxx twilio san,DL SG,contains,usd debit purchasexx twilio sanxx twilio san,,,21,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx kore wireless atl debit purchase,DL SG,contains,xx kore wireless atl debit purchase,,,20,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx sharetribe hel debit purchase auto categorize,DL SG,contains,xx sharetribe hel debit purchase auto categorize,,,19,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'sharetribe' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: aquid shahwar,DL SG,contains,aquid shahwar,,,18,94.4,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:already-a-live-qb-rule,mined: jennilyn reyes,DL SG,contains,jennilyn reyes,,,18,94.4,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
covered-by-counterparty,mined: xx figma san debit purchase,DL SG,contains,xx figma san debit purchase,,,18,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'figma' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: usd debit purchasexx twilio san,DL SG,contains,usd debit purchasexx twilio san,,,17,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx zendesk inc dub,DL SG,contains,debit purchase xx zendesk inc dub,,,17,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: ahmed nasr hammam nasr,DL SG,contains,ahmed nasr hammam nasr,,,17,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:label-is-SPLIT,mined: xx midjourney inc sou debit purchase,DL SG,contains,xx midjourney inc sou debit purchase,,,17,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx chatgpt subscription san debit purchase,DL SG,contains,xx chatgpt subscription san debit purchase,,,17,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: roxanne reyes,DL SG,contains,roxanne reyes,,,17,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: aman yadav,DL SG,contains,aman yadav,,,17,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: xx marlee f s australia syd debit purchase,DL SG,contains,xx marlee f s australia syd debit purchase,,,17,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'marlee' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx intuit qbooks online debit purchase auto cate,DL SG,contains,xx intuit qbooks online debit purchase auto cate,,,17,100.0,Other Operating Expenses:Corporate - Bookkeeping Fees,yes,pattern names party 'intuit' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: to inv pb towlah sg recovery general nan auto ca,DL SG,contains,to inv pb towlah sg recovery general nan auto ca,,,17,100.0,Cost of Overhead Related to Service:Operating Expenses:Towing,yes,pattern names party 'towlah' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: inv pb sent money to towlah sg recovery sent mon,DL SG,contains,inv pb sent money to towlah sg recovery sent mon,,,17,100.0,Cost of Overhead Related to Service:Operating Expenses:Towing,yes,pattern names party 'towlah' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx carousell sin debit purchase,DL SG,contains,xx carousell sin debit purchase,,,16,93.8,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: fast payment bexp ng cheng leng towing drive lah,DL SG,contains,fast payment bexp ng cheng leng towing drive lah,,,16,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx google google storage,DL SG,contains,debit purchase xx google google storage,,,16,93.8,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchasexx google ads xx google ads,DL SG,contains,debit purchasexx google ads xx google ads,,,16,93.8,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx amazon web services aws,DL SG,contains,debit purchase xx amazon web services aws,,,15,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx fingerprint for succes sur debit purchase,DL SG,contains,xx fingerprint for succes sur debit purchase,,,15,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx google one sin debit purchase,DL SG,contains,xx google one sin debit purchase,,,15,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx intuit qbooks online san debit purchase,DL SG,contains,xx intuit qbooks online san debit purchase,,,15,100.0,Other Operating Expenses:Corporate - Bookkeeping Fees,yes,pattern names party 'intuit' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx dnh godaddy com sgd,DL SG,contains,debit purchase xx dnh godaddy com sgd,,,15,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchase xx stk shutterstock,DL SG,contains,debit purchase xx stk shutterstock,,,14,100.0,Other Operating Expenses:Marketing Asset Creation,yes,pattern names party 'shutterstock' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: maria fonseca b dimaandal,DL SG,contains,maria fonseca b dimaandal,,,14,92.9,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: llanes aaron insorio,DL SG,contains,llanes aaron insorio,,,14,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: ankish riten mody,DL SG,contains,ankish riten mody,,,14,92.9,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: xx tldx solutions gmbh aac debit purchase,DL SG,contains,xx tldx solutions gmbh aac debit purchase,,,14,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: inv pb sent money to towlah sg recovery inv pb,DL SG,contains,inv pb sent money to towlah sg recovery inv pb,,,14,100.0,Cost of Overhead Related to Service:Operating Expenses:Towing,yes,pattern names party 'towlah' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx sharetribe com hel debit purchase,DL SG,contains,xx sharetribe com hel debit purchase,,,14,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchase xx quickbooks lon,DL SG,contains,debit purchase xx quickbooks lon,,,14,100.0,Other Operating Expenses:Corporate - Bookkeeping Fees,yes,pattern names party 'quickbooks' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: fast payment sala sarala d o let sarah salary dr,DL SG,contains,fast payment sala sarala d o let sarah salary dr,,,13,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'sarala d o letchumenan' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: debit purchase upwork,DL SG,contains,debit purchase upwork,,,13,100.0,Accrued Expense,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: bhalani nimesh himmatbhai,DL SG,contains,bhalani nimesh himmatbhai,,,13,92.3,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: xx surveymonk t dub debit purchase,DL SG,contains,xx surveymonk t dub debit purchase,,,13,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'surveymonkey' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx openai san debit purchase auto categorized op,DL SG,contains,xx openai san debit purchase auto categorized op,,,13,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'openai' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx calendly debit purchase,DL SG,contains,xx calendly debit purchase,,,13,92.3,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx adroll emea dub debit purchase,DL SG,contains,xx adroll emea dub debit purchase,,,13,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'adroll' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx github,DL SG,contains,debit purchase xx github,,,13,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx circleci com,DL SG,contains,debit purchase xx circleci com,,,13,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: fast payment sala aman yadav aman salary drive l,DL SG,contains,fast payment sala aman yadav aman salary drive l,,,12,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'aman' — its arbitrated default governs; a rule would override it
transfer-rule,mined: payment transferpayment transfer csdb stripe pay,DL SG,contains,payment transferpayment transfer csdb stripe pay,,,12,100.0,Uncategorised Income,yes,Stripe settlement per locked decision — Phase-0.5 INTERNAL_TRANSFER rule
dropped:already-a-live-qb-rule,mined: moengage,DL SG,contains,moengage,,,12,100.0,Other Operating Expenses:Technology System Cost,covered,
dropped:already-a-live-qb-rule,mined: gupshup inc,DL SG,contains,gupshup inc,,,12,100.0,Other Operating Expenses:Technology System Cost,covered,
covered-by-counterparty,mined: xx openai chatgpt subscr san debit purchase auto,DL SG,contains,xx openai chatgpt subscr san debit purchase auto,,,12,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'chatgpt' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx timetastic wil debit purchase,DL SG,contains,xx timetastic wil debit purchase,,,12,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'timetastic' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx zendesk inc san debit purchase,DL SG,contains,xx zendesk inc san debit purchase,,,12,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: fast payment sala vernika gaurav vernika salary,DL SG,contains,fast payment sala vernika gaurav vernika salary,,,12,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'vernika' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx zapier com charge,DL SG,contains,debit purchase xx zapier com charge,,,12,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx zeplin inc,DL SG,contains,debit purchase xx zeplin inc,,,12,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx surveymonkey,DL SG,contains,debit purchase xx surveymonkey,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: vighnesh r vighnesh,DL SG,contains,vighnesh r vighnesh,,,11,90.9,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:already-a-live-qb-rule,mined: joya mae noynay,DL SG,contains,joya mae noynay,,,11,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:label-is-SPLIT,mined: intercom inc,DL SG,contains,intercom inc,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx atlassian san debit purchase auto categorized,DL SG,contains,xx atlassian san debit purchase auto categorized,,,11,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'atlassian' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx whale ron debit purchase auto categorized ope,DL SG,contains,xx whale ron debit purchase auto categorized ope,,,11,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
rule,mined: sent money to trixie mauricio coronel,DL SG,contains,sent money to trixie mauricio coronel,5063,Customer Support - Salary,11,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
dropped:label-is-SPLIT,mined: xx amazon web services aws debit purchase,DL SG,contains,xx amazon web services aws debit purchase,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx zeplin inc debit purchase,DL SG,contains,xx zeplin inc debit purchase,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx zoom us,DL SG,contains,debit purchase xx zoom us,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx lightrail com,DL SG,contains,debit purchase xx lightrail com,,,11,90.9,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:self-or-ic-pattern,mined: debit purchase xx drive lah pte ltd sin,DL SG,contains,debit purchase xx drive lah pte ltd sin,,,11,100.0,Other Operating Expenses:Technology System Cost,yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
dropped:label-is-SPLIT,mined: debit purchaseusd xx twilio san,DL SG,contains,debit purchaseusd xx twilio san,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx zoom us san,DL SG,contains,debit purchase xx zoom us san,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchase xx upwork ref debit purchasexx up,DL SG,contains,debit purchase xx upwork ref debit purchasexx up,,,10,100.0,Accrued Expense,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase google cloud,DL SG,contains,debit purchase google cloud,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx zendesk com ire sai debit purchase,DL SG,contains,xx zendesk com ire sai debit purchase,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: jared chan yee mun,DL SG,contains,jared chan yee mun,,,10,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:already-a-live-qb-rule,mined: aircall sas,DL SG,contains,aircall sas,,,10,100.0,Other Operating Expenses:Technology System Cost,covered,
dropped:label-is-SPLIT,mined: xx expressvpn com nic debit purchase,DL SG,contains,xx expressvpn com nic debit purchase,,,10,90.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx dnh godaddy com aud syd debit purchase,DL SG,contains,xx dnh godaddy com aud syd debit purchase,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx clojurestream cloju obe debit purchase,DL SG,contains,xx clojurestream cloju obe debit purchase,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: paramjeet paramjeet,DL SG,contains,paramjeet paramjeet,,,10,90.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:label-unapproved,mined: xx arcade san debit purchase,DL SG,contains,xx arcade san debit purchase,,,10,100.0,Other Operating Expenses:Corporate - General Expenses,yes,bridge flag=review; approve label first
covered-by-counterparty,mined: xx retool san debit purchase,DL SG,contains,xx retool san debit purchase,,,10,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx intercom io debit purchase,DL SG,contains,xx intercom io debit purchase,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
rule,mined: fund transfer fund transfer to account sgd cpf s,DL SG,contains,fund transfer fund transfer to account sgd cpf s,6001,Employer CPF (SG),10,90.0,Other Operating Expenses:Human Resource - CPF Contribution,yes,
covered-by-counterparty,mined: fast payment sala amber li amber sal drive lah p,DL SG,contains,fast payment sala amber li amber sal drive lah p,,,10,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'amber' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx sentry,DL SG,contains,debit purchase xx sentry,,,10,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx papertrail solarwinds,DL SG,contains,debit purchase xx papertrail solarwinds,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
