match_key,contra_account,hits,purity_pct,is_new_vs_live_rules
xx calendly debit purchase,Other Operating Expenses:Technology System Cost,13,92.3,yes
xx adroll emea dub debit purchase,Other Operating Expenses:Marketing - Advertising (new customers),13,100.0,yes
debit purchase xx github,Other Operating Expenses:Technology System Cost,13,100.0,yes
debit purchase xx circleci com,Other Operating Expenses:Technology System Cost,13,100.0,yes
angel investment twickenham gb card xx aud value,"Operating Expenses:AI, Internet & Website maintenance fees",13,100.0,yes
circleci com circleci com ca us card xx usd valu,"Operating Expenses:AI, Internet & Website maintenance fees",13,100.0,yes
fast payment sala aman yadav aman salary drive l,Other Operating Expenses:Human Resource - Salary Expense,12,100.0,yes
payment transferpayment transfer csdb stripe pay,Uncategorised Income,12,100.0,yes
moengage,Other Operating Expenses:Technology System Cost,12,100.0,covered
gupshup inc,Other Operating Expenses:Technology System Cost,12,100.0,covered
xx openai chatgpt subscr san debit purchase auto,"AI, Internet & Website Maintenance fees",12,100.0,yes
xx timetastic wil debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,12,100.0,yes
xx zendesk inc san debit purchase,Other Operating Expenses:Technology System Cost,12,100.0,yes
fast payment sala vernika gaurav vernika salary ,Other Operating Expenses:Human Resource - Salary Expense,12,100.0,yes
debit purchase xx zapier com charge,Other Operating Expenses:Technology System Cost,12,100.0,yes
debit purchase xx zeplin inc,Other Operating Expenses:Technology System Cost,12,100.0,yes
microsoft g msbill info sg card xx usd value dat,Subscriptions/ Software expenses,12,100.0,yes
edreams prime m sydney au card xx value date,Operating Expenses:Travel Expense,12,100.0,yes
direct debit veda advantage,Operating Expenses:Technology System Costs,12,100.0,yes
debit purchase xx surveymonkey,Other Operating Expenses:Technology System Cost,11,100.0,yes
vighnesh r vighnesh,Other Operating Expenses:Human Resource - Salary Expense,11,90.9,covered
joya mae noynay,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,11,100.0,covered
intercom inc,Other Operating Expenses:Technology System Cost,11,100.0,yes
xx atlassian san debit purchase auto categorized,"AI, Internet & Website Maintenance fees",11,100.0,yes
xx whale ron debit purchase auto categorized ope,Other Operating Expenses:Corporate - Subscription/Software Expenses,11,100.0,yes
sent money to trixie mauricio coronel,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,11,100.0,yes
xx amazon web services aws debit purchase,Other Operating Expenses:Technology System Cost,11,100.0,yes
xx zeplin inc debit purchase,Other Operating Expenses:Technology System Cost,11,100.0,yes
debit purchase xx zoom us,Other Operating Expenses:Technology System Cost,11,100.0,yes
debit purchase xx lightrail com,Other Operating Expenses:Technology System Cost,11,90.9,yes
debit purchase xx drive lah pte ltd sin,Other Operating Expenses:Technology System Cost,11,100.0,yes
stonly com rue chapt fr card xx usd value date,Operating Expenses:Technology System Costs,11,100.0,yes
debit purchaseusd xx twilio san,Other Operating Expenses:Technology System Cost,10,100.0,yes
debit purchase xx zoom us san,Other Operating Expenses:Technology System Cost,10,100.0,yes
debit purchase xx upwork ref debit purchasexx up,Accrued Expense,10,100.0,yes
debit purchase google cloud,Other Operating Expenses:Technology System Cost,10,100.0,yes
xx zendesk com ire sai debit purchase,Other Operating Expenses:Technology System Cost,10,100.0,yes
jared chan yee mun,Other Operating Expenses:Human Resource - Salary Expense,10,100.0,covered
aircall sas,Other Operating Expenses:Technology System Cost,10,100.0,covered
xx expressvpn com nic debit purchase,Other Operating Expenses:Technology System Cost,10,90.0,yes
xx dnh godaddy com aud syd debit purchase,Other Operating Expenses:Technology System Cost,10,100.0,yes
xx clojurestream cloju obe debit purchase,Other Operating Expenses:Technology System Cost,10,100.0,yes
paramjeet paramjeet,Other Operating Expenses:Human Resource - Salary Expense,10,90.0,covered
xx arcade san debit purchase,Other Operating Expenses:Corporate - General Expenses,10,100.0,yes
xx retool san debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,10,100.0,yes
xx intercom io debit purchase,Other Operating Expenses:Technology System Cost,10,100.0,yes
fund transfer fund transfer to account sgd cpf s,Other Operating Expenses:Human Resource - CPF Contribution,10,90.0,yes
fast payment sala amber li amber sal drive lah p,Other Operating Expenses:Human Resource - Salary Expense,10,100.0,yes
debit purchase xx sentry,Other Operating Expenses:Technology System Cost,10,100.0,yes
lovable lovable dev de us card xx usd value date,"Operating Expenses:AI, Internet & Website maintenance fees",10,100.0,yes
bus mrt singapore sg card xx sgd value date,Operating Expenses:Travel Expense,10,100.0,yes
mycar tyre auto sydney au card xx value date,Operating Expenses:Travel Expense,10,100.0,yes
stonly com stonly com ny us card xx usd value da,Operating Expenses:Technology System Costs,10,100.0,yes
infotracer com ma us card xx usd value date,Operating Expenses:Technology System Costs,10,90.0,yes
debit purchase xx papertrail solarwinds,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase godaddy com,Other Operating Expenses:Technology System Cost,9,100.0,yes
xx birthdaybot io new debit purchase,Other Operating Expenses:Technology System Cost,9,100.0,yes
xx google play gur debit purchase,Other Operating Expenses:Technology System Cost,9,100.0,yes
xx adobe acropro subs ado debit purchase,Other Operating Expenses:Technology System Cost,9,100.0,yes
xx lucidchart com charge sou debit purchase,Other Operating Expenses:Technology System Cost,9,100.0,yes
fast payment bexp ng cheng leng inv drive lah pt,Cost of Overhead Related to Service:Operating Expenses,9,100.0,yes
justco singapore pte ltd fast payment bexp justc,Other Operating Expenses:Corporate - Office Rent,9,100.0,yes
gps fleet sdn bhd,Technology Development,9,100.0,covered
to zilla marie cenido general nan auto categoriz,Other Operating Expenses:Human Resource - Salary Expense,9,100.0,yes
xx zoom com san debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,9,100.0,yes
xx ngrok inc san debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,9,100.0,yes
xx paddle net n n cloud lon debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,9,100.0,yes
xx loom subscription aus debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,9,100.0,yes
sent money to jay balan dl ops fund,Cost of Overhead Related to Service:Operating Expenses,9,100.0,yes
xx ga insights cloudbot ire debit purchase,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase xx surveymonkey dub,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase xx docsend inc,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase xx trello com atlassian,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase xx adobe com dub,Other Operating Expenses:Technology System Cost,9,100.0,yes
debit purchase xx twilio san,Other Operating Expenses:Technology System Cost,8,100.0,yes
debit purchase xx intercom dub,Other Operating Expenses:Technology System Cost,8,100.0,yes
debit purchase xx trello com atlassian new,Other Operating Expenses:Technology System Cost,8,100.0,yes
xx google ads,Other Operating Expenses:Marketing - Advertising (new customers),8,100.0,yes
sent lai mei regina teh,Other Operating Expenses:Human Resource - Salary Expense,8,100.0,yes
fast payment bexp chuan quan koh photographer dr,Cost of Overhead Related to Service:Market -Asset Creation,8,100.0,yes
xx overflow io protoio debit purchase,Other Operating Expenses:Technology System Cost,8,100.0,yes
xx voucherify rspective kat debit purchase,Other Operating Expenses:Technology System Cost,8,100.0,yes
xx adobe creative cloud debit purchase,Other Operating Expenses:Technology System Cost,8,100.0,yes
mythri s,Other Operating Expenses:Human Resource - Salary Expense,8,100.0,yes
xx typeform s l bar debit purchase auto categori,Other Operating Expenses:Corporate - Subscription/Software Expenses,8,100.0,yes
xx google ads cc debit purchase auto categorized,Other Operating Expenses:Marketing - Advertising (new customers),8,100.0,yes
to lai mei regina teh general nan auto categoriz,Other Operating Expenses:Human Resource - Salary Expense,8,100.0,yes
to alexcess car general nan auto categorized cos,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,8,100.0,yes
xx amplitude inc san debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,8,100.0,yes
biz rr giro,Other Operating Expenses:Human Resource - CPF Contribution,8,100.0,yes
xx github debit purchase,Other Operating Expenses:Technology System Cost,8,100.0,yes
xx upwork ref debit credit,Other Income-Refund,8,100.0,yes
debit purchase xx adroll emea dub,Other Operating Expenses:Marketing - Advertising (new customers),8,100.0,yes
debit purchase xx intercom io,Other Operating Expenses:Technology System Cost,8,100.0,yes
debit purchase xx dnh godaddy com myr,Other Operating Expenses:Technology System Cost,8,100.0,yes
post gordon ps gordon au card xx value date,Cost of Overhead Related to Service:Operating Expenses,8,100.0,yes
direct credit global transport,Other Income,8,100.0,yes
drive mate value date,Cost of Overhead Related to Service:Operating Expenses,8,100.0,yes
uber trip,Operating Expenses:Travel Expense,8,100.0,yes
transfer to jetstar airways pty ltd payid email ,Operating Expenses:Travel Expense,8,100.0,yes
card transaction of aud issued by didimobility s,Operating Expenses:Travel Expense,8,100.0,yes
debit purchasexx google cloud b sin,Other Operating Expenses:Technology System Cost,7,100.0,yes
debit purchase xx typeform s l bar,Other Operating Expenses:Technology System Cost,7,100.0,yes
debit purchase xx circleci com san,Other Operating Expenses:Technology System Cost,7,100.0,yes
bexp cheng chuan mo fast paymentfast payment bex,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
fast paymentfast payment bexp cheng chuan mo inv,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
xx heroku mar debit purchase,Other Operating Expenses:Technology System Cost,7,100.0,yes
ridhi karan and associates,Other Operating Expenses:Corporate - Bookkeeping Fees,7,100.0,covered
muhamad haziq bin mustaffa fyle claim sg trainin,Other Operating Expenses:Human Resource - Salary Expense,7,100.0,yes
xx xero global in wel debit purchase auto catego,Other Operating Expenses:Corporate - Subscription/Software Expenses,7,100.0,yes
xx octopods whatsapp cor debit purchase auto cat,"AI, Internet & Website Maintenance fees",7,100.0,yes
stripe a r collection subscription payment sg mo,Trade and other receivables,7,100.0,yes
xx slack tljacme dub debit purchase auto categor,Other Operating Expenses:Corporate - Subscription/Software Expenses,7,100.0,yes
xx dropbox docsend san debit purchase auto categ,Other Operating Expenses:Corporate - Subscription/Software Expenses,7,100.0,yes
to trixie mauricio coronel general nan auto cate,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,7,100.0,yes
sent money to jennilyn reyes,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,7,100.0,yes
sent money to randolf mercado,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,7,100.0,yes
sent money to alexcess car,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,7,100.0,yes
xx dnh godaddy syd debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,7,100.0,yes
debit purchase xx lucidchart com charge,Other Operating Expenses:Technology System Cost,7,100.0,yes
debit purchasexx upwork refxx upwork ref,Accrued Expense,7,100.0,yes
vercel inc vercel com ca us card xx usd value da,"Operating Expenses:AI, Internet & Website maintenance fees",7,100.0,yes
creditline netbank bpay xxxxxxxxxxxx laptop,Computer at Cost,7,100.0,yes
render com render com ca us card xx usd value da,"Operating Expenses:AI, Internet & Website maintenance fees",7,100.0,yes
transportfornsw tap sydney au card xx,Operating Expenses:Travel Expense,7,100.0,yes
hotel at booking com amsterdam nl card xx sgd va,Operating Expenses:Travel Expense,7,100.0,yes
racq netbank bpay inv fti,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
transfer to the fleet dr netbank inv dated,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
transfer to abc debt services pty ltd netbank in,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
didichuxing didiau pendin sydney au card xx valu,Operating Expenses:Travel Expense,7,100.0,yes
voided transfer to abc debt services pty ltd net,Cost of Overhead Related to Service:Operating Expenses,7,100.0,yes
voided stonly com rue chapt fr card xx usd value,Operating Expenses:Technology System Costs,7,100.0,yes
vl,Cost of Service:Insurance,7,100.0,yes
debit purchase xx canva i cam,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchase xx birthdaybot io,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchase xx google ads sin debit purchase ,Other Operating Expenses:Marketing - Advertising (new customers),6,100.0,yes
debit purchasexx octopods whatsapp cor debit pur,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchasexx sharetribe com hel debit purcha,Other Operating Expenses:Technology System Cost,6,100.0,yes
fast paymentfast payment bexp onfido pte ltd inv,Other Operating Expenses:Technology System Cost,6,100.0,yes
sent noraisa domado,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,yes
sent ahmed nasr hammam nasr,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,yes
fast payment bexp justco singap sg jcs sg jcs fa,Other Operating Expenses:Corporate - Office Rent,6,100.0,yes
xx msft e md fa msb debit purchase,Other Operating Expenses:Technology System Cost,6,100.0,yes
ankit kumar singh,Other Operating Expenses:Human Resource - Salary Expense,6,100.0,covered
patricia rosale s lontoc,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,covered
adil afsar,Other Operating Expenses:Human Resource - Salary Expense,6,100.0,covered
xx stonly com new debit purchase auto categorize,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
aakash chavda,Other Operating Expenses:Human Resource - Salary Expense,6,100.0,covered
xx kore wireless atl debit purchase auto categor,Other Operating Expenses:Technology System Cost,6,100.0,yes
xx octopods omnichannel cor debit purchase auto ,"AI, Internet & Website Maintenance fees",6,100.0,yes
xx safetyculture com ams debit purchase auto cat,"AI, Internet & Website Maintenance fees",6,100.0,yes
xx circleci com san debit purchase auto categori,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx google gsuite drivelah cc debit purchase auto,"AI, Internet & Website Maintenance fees",6,100.0,yes
xx metabase inc spr debit purchase auto categori,"AI, Internet & Website Maintenance fees",6,100.0,yes
xx adobe debit purchase auto categorized operati,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx bitly com new debit purchase auto categorized,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx birthdaybot new debit purchase auto categoriz,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx hubspot singapore ltd sin debit purchase auto,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx trello com atlassian new debit purchase auto ,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx miro com san debit purchase auto categorized ,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx twilio sendgrid san debit purchase auto categ,Other Operating Expenses:Technology System Cost,6,100.0,yes
xx recruitee btu xgtfeph ams debit purchase auto,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
to marijoy manalo riomalos general nan auto cate,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,yes
to riezel basilio villanueva general nan auto ca,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,yes
xx upwork ref dub debit purchase auto categorize,"AI, Internet & Website Maintenance fees",6,100.0,yes
to income insurance limited general nan auto cat,Cost of Service:Insurance,6,100.0,yes
xx google gsuite drivelah cc debit purchase,"AI, Internet & Website Maintenance fees",6,100.0,yes
xx cursor ai powered ide new debit purchase,"AI, Internet & Website Maintenance fees",6,100.0,yes
sent money to riezel basilio villanueva,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,6,100.0,yes
xx monday com lon debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx calendly buf debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,6,100.0,yes
xx surveymonkey dub debit purchase,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchase xx zendesk inc san,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchase xx dnh godaddy com singap,Other Operating Expenses:Technology System Cost,6,100.0,yes
debit purchasexx google ads sin,Other Operating Expenses:Marketing - Advertising (new customers),6,100.0,yes
aud debit credit xx carnextdoor,Other Income-Refund,6,100.0,yes
wispr wisprflow ai ca us card xx usd value date,"Operating Expenses:AI, Internet & Website maintenance fees",6,100.0,yes
supabase singapore sg card xx usd value date,Subscriptions/ Software expenses,6,100.0,yes
direct credit ato ato,Other Income,6,100.0,yes
transfer to benjamin gotto smith commbank app dm,Operating Expenses:Corporate - Legal and professional fees,6,100.0,yes
voided transfer to ted commbank app installation,Cost of Overhead Related to Service:Operating Expenses,6,100.0,yes
transfer to ted commbank app installation,Cost of Overhead Related to Service:Operating Expenses,6,100.0,yes
humax,Cost of Overhead Related to Service:In-car Running Costs,6,100.0,yes
debit purchase xx google ads sin debit purchasex,Other Operating Expenses:Marketing - Advertising (new customers),5,100.0,yes
debit purchase xx zapier com charge san,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchase xx slack tljacme dub,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchase xx github san,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchase xx octopods whatsapp cor,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchase xx bitly com new,Other Operating Expenses:Technology System Cost,5,100.0,yes
fast payment sala khairul haizad haizad salary d,Other Operating Expenses:Human Resource - Salary Expense,5,100.0,yes
debit purchase xx hotjar pac,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchasexx hellosign monthly san debit pur,Other Operating Expenses:Technology System Cost,5,100.0,yes
aud debit purchasexx microsoft advertising msb d,Other Operating Expenses:Technology System Cost,5,100.0,yes
debit purchasexx google google storage sin debit,Other Operating Expenses:Technology System Cost,5,100.0,yes
bexp arena detailin,Cost of Overhead Related to Service:Market -Asset Creation,5,100.0,yes
bexp cheng chua mo,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
sent dominador gamit,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,5,100.0,yes
transferwise fee for sgd sent lai mei regina teh,Other Operating Expenses:Human Resource - Salary Expense,5,100.0,yes
sent jennilyn reyes,Other Operating Expenses:Marketing - Advertising (new customers),5,100.0,yes
