entity,event_type,je_num,debit_code,credit_code,description,is_transfer,is_active,notes
Drive lah Singapore Pte Ltd.,trip_refunds,20,5052,1017,Trip refunds,False,True,
Drive lah Singapore Pte Ltd.,subscription_refunds,21,5054,1017,Subscription refunds,False,True,
Drive lah Singapore Pte Ltd.,invoice_refunds,22,5053,1017,Invoice refunds,False,True,
Drive lah Singapore Pte Ltd.,host_transfers_cash,23,2120,1017,Host transfer payouts,False,True,
Drive lah Singapore Pte Ltd.,stripe_payouts,24,1017,1016,Stripe payouts (aggregate),True,False,DROPPED per corridor-3 ruling 2026-07-25: payouts come as line-level transactions via the payout importer + bank pairing; aggregate template would double-book.
Drive lah Singapore Pte Ltd.,incidentals_direct_revenue,25,1017,4021,Direct incidentals (no AR),False,True,
Drive lah Singapore Pte Ltd.,host_delivery_payout,,5042,2120,Host delivery payouts,False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_fuel_charges_collected,,2120,4023,Host fuel charges collected (payout deduction),False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_fuel_inclusion,,5023,2120,Fuel-inclusion payouts to hosts,False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_long_term_discount,,5050,2120,Long-term rental discounts (amounts arrive negative),False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_misc_charge_collected,,2120,4025,Misc charges collected from hosts,False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_misc_payout,,5042,2120,Host misc payouts (was template-less in the old sync),False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_rms_payout,,5001,2120,RMS host payouts,False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
Drive lah Singapore Pte Ltd.,host_subscription_collected,,2120,4010,Device-subscription fees collected from hosts,False,True,Gaurav-approved 2026-07-25 (SG catalog completion)
