qb_label,qb_leaf,usage_count,entities,llm_code,llm_name,llm_confidence,llm_reason,approved_code,approved_notes,rec_code,score,FLAG
Business General & Administrative Expense,Business General & Administrative Expense,326,sg_,3300,Suspense Account,low,"Generic G&A catch-all, not a tax account; no clean expense match -> Suspense pending reclass (machine 9000 income tax is wrong)",SPLIT,Per Gaurav (2026-07-10): generic G&A — lines to be reclassified into proper expense categories per-line (counterparty/description); no static code.,9000,0.176,approved
Due to SG,Due to SG,324,sg_,,,low,"Due to SG on SG's own books is self-referential — likely intra-entity/Fleet clearing, needs a decision",TRANSFER,"Verified 2026-07-10: label exists ONLY in Drive lah Fleet's GL (not main SG GL) — it is Fleet's mirror of SG's 'Due from Fleet' (same dates/amounts, e.g. 10/01/2022 -1391). Intra-entity clearing; Fleet has no bank account so these lines never appear in the bank replay. Same class as the Fleet TRANSFER family.",8100,0.512,approved
Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,Salary Expense Ops - Customer Service,324,sg_,5063,Customer Support - Salary,high,customer support salary = Customer Support - Salary (COS),5063,,5063,0.442,audited-ok
Due From Australian Account,Due From Australian Account,317,"sg_,ven",8000,IC - Due from AU (SG books),high,SG books receivable from AU = Due from AU (SG books),ENTITY-DEPENDENT,AUDIT 2026-07-23: SG books -> 8000; Ventures books -> 8021 (per-entity IC convention),8000,0.407,approved
Cost of Overhead Related to Service:Operating Expenses:Stripe Monthly Fees (deleted),Stripe Monthly Fees (deleted),145,au,5010,Payment Processing Fees,high,Stripe processing/monthly fees -> Payment Processing Fees 5010.,5010,,5050,0.294,audited-ok
Other Operating Expenses:Corporate - Subscription/Software Expenses,Corporate - Subscription/Software Expenses,141,sg_,6701,Technology - Software Subscriptions,high,Software/SaaS subscription -> Technology - Software Subscriptions,6701,,6701,0.487,audited-ok
Employees Expense,Employees Expense,131,sg_,6014,Employee Claims - Other,med,"generic employee expense reimbursement, no specific category — Employee Claims - Other",SPLIT,"Per Gaurav (2026-07-10): employee claims across 6010-6014 by claim head, resolved per-line. PROPOSED default when head indeterminate: 6014 Employee Claims - Other.",6014,0.52,approved
"AI, Internet & Website Maintenance fees","AI, Internet & Website Maintenance fees",128,sg_,6700,Technology - Infrastructure,med,"AI/internet/website infra maintenance = Technology - Infrastructure; anchor maps AI,Internet & Website to 6700",6700,2026-07-23: matches its approved sibling label + counterparty triage (Anthropic/OpenAI -> 6700),6104,0.281,approved
Other Operating Expenses:Marketing - Advertising (new customers),Marketing - Advertising (new customers),126,sg_,6100,Marketing - Digital Advertising,high,New-customer acquisition advertising = digital advertising,6100,,6100,0.503,audited-ok
1100 Stripe - Clearing Account,1100 Stripe - Clearing Account,117,au,,,,,,,,,bank-acct (per-entity 1000-1199)
"Operating Expenses:AI, Internet & Website maintenance fees","AI, Internet & Website maintenance fees",115,au,6700,Technology - Infrastructure,high,AI/Internet/Website maintenance -> Technology Infrastructure 6700 (anchor).,6700,,6104,0.281,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Workshop,Workshop,108,"au,sg_",5032,Incidentals Payout - Workshop,high,Workshop repair payments -> Incidentals Payout - Workshop,5032,,5032,0.373,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Stripe_transfer_others,Stripe_transfer_others,98,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Operating Expenses:Corporate-Other Corporate Expense,Corporate-Other Corporate Expense,96,au,6014,Employee Claims - Other,low,"vague catch-all corporate expense; best fit Employee Claims/Other expense, ambiguous",,,5062,0.193,review
Operating Expenses,Operating Expenses,96,au,,,low,"top-level generic expense bucket, no leaf — needs decision",,,2200,0.235,review
Cost of Service:Insurance,Insurance,94,"au,sg_",5035,Cost of Insurance - Trip Premium,high,Cost of Service (not recovery): per-trip insurance premium cost,5035,,4030,0.548,audited-ok
Other Operating Expenses:Travel-Transportation,Travel-Transportation,92,sg_,6401,Travel - Meals,low,Travel transportation; could be 6400 tickets or 6401 meals; transport reimbursement leans 6401 but uncertain.,,,6401,0.406,review
Cost of Overhead Related to Service:Operating Expenses:Onground team,Onground team,87,"au,sg_",5062,On-Ground Team - Expenses,med,On-ground team operating expenses -> On-Ground Team - Expenses; could be 5061 if salary,,,5062,0.474,review
Operating Expenses:General Expense,General Expense,87,au,6014,Employee Claims - Other,low,"generic unclassified operating expense; no clear category, catch-all",SPLIT,"2026-07-23: generic catch-all, same ruling class as Business G&A",9000,0.242,approved
Other Operating Expenses:Corporate - General Expenses,Corporate - General Expenses,85,sg_,6014,Employee Claims - Other,med,corporate general/misc expense maps best to Employee Claims - Other / misc opex; ambiguous,,,5062,0.242,review
Cost of Overhead Related to Service:Operating Expenses:Parking,Parking,78,"au,sg_",5060,Parking - RMS Fleet,high,RMS fleet parking cost,5060,,5060,0.415,audited-ok
Uncategorised Income,Uncategorised Income,62,sg_,3300,Suspense Account,low,Uncategorised income with no detail -> Suspense 3300 pending classification.,SPLIT,2026-07-23: definitionally uncategorised — per line; stripe-settlement patterns under it -> transfer rules,2210,0.451,approved
Cost of Overhead Related to Service:Operating Expenses:Misc dispute,Misc dispute,52,sg_,5042,Host Payouts - Misc,med,Misc dispute payouts to hosts -> Host Payouts - Misc,,,5042,0.253,review
Cost of Overhead Related to Service:Operating Expenses:Fuel,Fuel,51,"au,sg_",5023,Incidentals Payout - Fuel,med,fuel cost in COS overhead — Incidentals Payout - Fuel,,,5023,0.31,review
Operating Expenses:Technology System Costs,Technology System Costs,49,au,6700,Technology - Infrastructure,high,technology system/infra costs = Technology - Infrastructure,6700,,6700,0.424,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Damage,Damage,45,sg_,5021,Incidentals Payout - Damage (Host),high,Under Cost of Service = damage payout to host,5021,,4021,0.341,audited-ok
Other Income-Refund,Other Income-Refund,45,sg_,7001,Other Income - Cash Rebate,med,Refund received as other income -> Cash Rebate 7001 (vendor/bank refund).,7001,2026-07-23: refunds/rebates of expenses -> Other Income - Rebates (llm concurred),7000,0.5,approved
Exchange Gain or Loss,Exchange Gain or Loss,34,"sg_,ven",7100,Foreign Exchange Gains/Losses,high,FX gains/losses -> Foreign Exchange Gains/Losses,7100,,7100,0.512,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Late return,Late return,34,sg_,5044,Host Payouts - Late Return,high,late return compensation — Host Payouts - Late Return,5044,,5044,0.538,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Excess mileage,Excess mileage,33,sg_,5024,Incidentals Payout - Excess Mileage,high,excess mileage payout to host (COS) = Incidentals Payout - Excess Mileage,5024,,5024,0.529,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Extensions,Extensions,33,sg_,4025,Incidentals Revenue - Other,low,Trip extension charge — likely incidental/other revenue; classification unclear,,,2200,0.185,review
Other Operating Expenses:Human Resource - CPF Contribution,Human Resource - CPF Contribution,31,sg_,6001,Employer CPF (SG),high,Employer CPF contribution -> 6001.,6001,,6001,0.232,audited-ok
Payroll clearing,Payroll clearing,31,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Due To Australia,Due To Australia,28,sg_,8100,IC - Due to AU (SG books),high,SG books owing to AU -> IC - Due to AU (SG books),8100,,8100,0.395,audited-ok
Prepaid Insurance,Prepaid Insurance,27,"au,sg_",1300,Prepayments,med,"prepaid insurance premium is a prepayment asset (1300), not revenue",,,4030,0.395,review
Cost of Overhead Related to Service:Operating Expenses:Towing,Towing,27,"au,sg_",5033,Incidentals Payout - Towing,high,towing payout (COS) = Incidentals Payout - Towing,5033,,5033,0.345,audited-ok
Other Operating Expenses:Travel - Accommodation,Travel - Accommodation,25,sg_,6400,Travel - Tickets,med,Business travel; no accommodation-specific code,,,6400,0.432,review
Cost of Overhead Related to Service:Salary Expense - Local Ops Staff,Salary Expense - Local Ops Staff,24,sg_,5061,On-Ground Team - Salary,high,Local ops staff salary -> On-Ground Team Salary 5061 (COS).,5061,,6003,0.22,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Cleaning,Cleaning,23,"au,sg_",5022,Incidentals Payout - Cleaning,high,Cleaning payout to hosts/providers -> Incidentals Payout - Cleaning,5022,,5022,0.373,audited-ok
Cost of Overhead Related to Service:Marketing - Discount & Promotions,Marketing - Discount & Promotions,22,sg_,5050,Monthly Discounts,med,"trip discounts/promotions reduce revenue — Monthly Discounts (COS), not marketing opex",,,6103,0.391,review
Cost of Overhead Related to Service:Operating Expenses:Downtime,Downtime,22,sg_,5043,Host Payouts - Downtime,high,host downtime compensation (COS) = Host Payouts - Downtime,5043,,5043,0.406,audited-ok
Operating Expenses:Corporate - Legal and professional fees,Corporate - Legal and professional fees,21,au,6501,Legal Fees,high,Legal & professional fees = Legal Fees,6501,,6501,0.463,audited-ok
112233 WISE AU USD,112233 WISE AU USD,19,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Loan,Loan,19,au,,,low,"Bare ""Loan"" with no direction; could be 1320 (given) or 2400 (received) - needs decision.",,,1320,0.468,review
Ventures- Euro,Ventures- Euro,19,ven,,,,,,,,,bank-acct (per-entity 1000-1199)
Convertible loan,Convertible loan,18,ven,2400,Loans from Others,high,Convertible loan = money received = liability -> Loans from Others (direction rule overrides 1320),2400,,1320,0.303,audited-ok
Other Operating Expenses:Corporate - General Liability Insurance,Corporate - General Liability Insurance,15,sg_,6014,Employee Claims - Other,low,"corporate general liability insurance premium; no dedicated insurance-opex code, ambiguous",,,4011,0.28,review
Cost of Overhead Related to Service:In-car Running Costs,In-car Running Costs,14,au,5030,Cost of Device Subscriptions,med,in-car device running/connectivity costs (COS) = Cost of Device Subscriptions,,,7301,0.313,review
Employee Expense,Employee Expense,14,au,6014,Employee Claims - Other,med,Generic employee reimbursement claim = Employee Claims - Other,,,6014,0.505,review
Cost of Service:Payment Gateway,Payment Gateway,12,sg_,5010,Payment Processing Fees,high,Payment gateway fees -> Payment Processing Fees 5010.,5010,,5010,0.361,audited-ok
Uncategorised Expense,Uncategorised Expense,12,"sg_,ven",3300,Suspense Account,low,Uncategorised holding -> Suspense Account pending reclass (machine 2200 accrual is wrong),,,2200,0.238,review
Other Operating Expenses:Human Resource - Recruitment Agency Fees,Human Resource - Recruitment Agency Fees,12,sg_,6200,HR - Recruitment,high,recruitment agency fees — HR - Recruitment,6200,,6104,0.416,audited-ok
2400-STRIPE-HOST Stripe - Host Payables,2400-STRIPE-HOST Stripe - Host Payables,12,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Cost of Overhead Related to Service:Salary Expense - Local Ops Salary,Salary Expense - Local Ops Salary,12,au,5061,On-Ground Team - Salary,high,local on-ground ops salary (COS) = On-Ground Team - Salary,5061,,6003,0.33,audited-ok
Other Operating Expenses:Human Resource - Recruitment Advertising Fees,Human Resource - Recruitment Advertising Fees,11,sg_,6200,HR - Recruitment,high,Recruitment advertising = HR Recruitment,6200,,6200,0.33,audited-ok
Operating Expenses:Human Resource-Salary Expense,Human Resource-Salary Expense,11,au,6000,Salaries & Wages,high,Corporate HR salary expense -> Salaries & Wages 6000.,6000,,6003,0.31,audited-ok
Prepaid Expense,Prepaid Expense,10,sg_,1300,Prepayments,high,Prepaid expense is an asset -> Prepayments (machine 2200 liability is wrong direction),1300,,2200,0.284,audited-ok
Other Operating Expenses:Human Resource - Other Recruitment Fees,Human Resource - Other Recruitment Fees,10,sg_,6200,HR - Recruitment,high,other recruitment fees — HR - Recruitment,6200,,6200,0.383,audited-ok
Other Operating Expenses:Human Resource - Employee Benefits,Human Resource - Employee Benefits,10,sg_,6014,Employee Claims - Other,med,HR employee benefits = Employee Claims - Other / misc HR opex; no dedicated benefits code,,,6014,0.26,review
Operating Expenses:Marketing Acquisition-New Customer,Marketing Acquisition-New Customer,10,au,6100,Marketing - Digital Advertising,med,New-customer acquisition = digital advertising (not partnerships),,,6102,0.327,review
Other Operating Expenses:Travel - Airfare,Travel - Airfare,9,sg_,6400,Travel - Tickets,high,Airfare tickets -> Travel - Tickets 6400 (anchor).,6400,,6400,0.475,audited-ok
Other Operating Expenses:Travel Expenses,Travel Expenses,8,sg_,6400,Travel - Tickets,med,Generic travel expense -> Travel - Tickets; machine 6401 meals too specific for a generic label,,,6401,0.548,review
Cost of Overhead Related to Service:In-car devices - running/maintenance costs,In-car devices - running/maintenance costs,7,sg_,5030,Cost of Device Subscriptions,med,"running/maintenance cost of in-car devices — Cost of Device Subscriptions, not depreciation",,,7301,0.398,review
Director's Remuneration Payable,Director's Remuneration Payable,6,sg_,2304,Salaries Payable,med,directors remuneration owed but not paid = Salaries Payable (liability); not the expense 6003,,,2010,0.396,review
Other Operating Expenses:Corporate-Other Corporate,Corporate-Other Corporate,6,sg_,2010,Other Payables,low,Vague corporate catch-all; could be other payables/misc expense,,,2000,0.204,review
Cost of Overhead Related to Service:Operating Expenses:Damages,Damages,6,au,5021,Incidentals Payout - Damage (Host),low,Damages under expenses; likely damage payout to host 5021 (not revenue 4021); direction uncertain.,,,4021,0.337,review
Cost of Overhead Related to Service:Salary expense - Misc claims (Ops staff),Salary expense - Misc claims (Ops staff),5,sg_,6014,Employee Claims - Other,med,Ops staff misc claims -> Employee Claims - Other; could be 5062 if treated as COS ops expense,,,6014,0.278,review
Other Operating Expenses:Research and Development - Hardware,Research and Development - Hardware,5,sg_,1710,Technology Development,med,capitalised R&D hardware/tech development — Technology Development asset (per machine rec); could be device hardware 1510,,,1710,0.375,review
Other Operating Expenses:Admin Expense,Admin Expense,5,sg_,6014,Employee Claims - Other,low,"generic admin expense, no specific category — best-fit misc opex",,,2200,0.276,review
Other Operating Expenses:Corporate - Office Supplies,Corporate - Office Supplies,5,sg_,6013,Employee Claims - Office Supplies,med,Office supplies; 6013 is employee-claim supplies,,,6013,0.507,review
Other Operating Expenses:Corporate - Entertainment (Local),Corporate - Entertainment (Local),5,sg_,6402,Entertainment,high,Entertainment -> 6402 (anchor).,6402,,6402,0.426,audited-ok
Fleet - Rental Expense,Fleet - Rental Expense,5,au,5060,Parking - RMS Fleet,med,RMS fleet rental/parking expense (AU) -> Parking - RMS Fleet; not the 'Due to/from Fleet' clearing rule,,,5060,0.248,review
Intangible Asset,Intangible Asset,4,sg_,1710,Technology Development,med,generic intangible asset — Technology Development (largest intangible); could be Brand 1700,,,6103,0.321,review
Uncategorised Asset,Uncategorised Asset,4,"au,sg_",3300,Suspense Account,low,uncategorised holding item routed to Suspense Account pending reclassification,,,6103,0.292,review
Other Operating Expenses:Corporate - Audit and Tax Fees,Corporate - Audit and Tax Fees,4,sg_,6500,Accounting & Bookkeeping Fees,med,Audit & tax fees = Accounting & Bookkeeping Fees,,,9000,0.303,review
Other Operating Expenses:Corporate - Other Equipment and Software,Corporate - Other Equipment and Software,4,sg_,6310,Office Equipment,med,Other equipment & software (below-cap) -> Office Equipment 6310; could be 6701 if pure SaaS.,,,7300,0.333,review
Other Operating Expenses,Other Operating Expenses,4,sg_,7000,Other Income - Grants,low,Generic 'Other Operating Expenses' has no clean match; treated as other income/expense catch-all -> Suspense better but kept near machine,,,7000,0.213,review
Prepaid Expenses,Prepaid Expenses,4,au,1300,Prepayments,high,prepaid expenses are a prepayment asset — Prepayments,1300,,2200,0.3,audited-ok
PAYG Liability,PAYG Liability,4,au,2301,PAYG Withholding Payable (AU),high,AU PAYG withholding owed to ATO = PAYG Withholding Payable (AU),2301,,2301,0.336,audited-ok
Gross Revenue-Car Rental Usage,Gross Revenue-Car Rental Usage,3,"au,sg_",4000,GBV - P2P,high,Car rental usage = GBV P2P trip revenue,4000,,4020,0.296,audited-ok
Cost of Service:Host Earnings,Host Earnings,3,"au,sg_",5000,Host Payouts - P2P,med,Host earnings = host payout COGS -> 5000 P2P (machine 3100 retained-earnings is wrong); split unknown.,,,3100,0.467,review
Payable to Others,Payable to Others,3,"sg_,ven",2010,Other Payables,high,Non-trade payable -> Other Payables,2010,,2010,0.506,audited-ok
Sales of Product Revenue,Sales of Product Revenue,3,"au,sg_",4025,Incidentals Revenue - Other,low,"product sales revenue; no product-sales code, mapped to Incidentals Revenue - Other as nearest revenue",,,4025,0.323,review
Other Operating Expenses:Travel- Allowance,Travel- Allowance,3,sg_,6401,Travel - Meals,med,travel meal/allowance expense = Travel - Meals; could be 6400 if tickets,,,6401,0.458,review
Other Operating Expenses:Research and Development - Software,Research and Development - Software,3,sg_,1710,Technology Development,high,Capitalised software development = Technology Development asset,,"GAURAV 2026-07-23: policy undecided (capitalize vs expense) — leave unapproved, 3 lines to review at replay",1710,0.375,review-at-replay
Due to Singapore Account,Due to Singapore Account,3,au,8110,IC - Due to SG (AU books),high,IC payable to SG in AU books -> Due to SG 8110.,8110,,8110,0.396,audited-ok
Operating Expenses:Corporate - Office Rental,Corporate - Office Rental,3,au,6300,Office Rent,high,Office rental -> Office Rent,6300,,6300,0.394,audited-ok
Tax Paid,Tax Paid,3,au,9000,Income Tax Expense,high,income tax paid — Income Tax Expense,9000,,9000,0.354,audited-ok
Due to Singapore,Due to Singapore,3,ven,8120,IC - Due to SG (Ventures books),high,"Ventures books, amount owed to SG = IC - Due to SG (Ventures books)",8120,,8110,0.415,audited-ok
Depreciation - Branding,Depreciation - Branding,2,"sg_,ven",7401,Amortisation - Brand,high,Brand depreciation/amortisation = Amortisation - Brand,7401,,6101,0.479,audited-ok
Gross Revenue -Other Income,Gross Revenue -Other Income,2,sg_,4025,Incidentals Revenue - Other,med,Misc revenue catch-all -> Incidentals Revenue Other 4025.,,,4025,0.437,review
Research and Development Hardware,Research and Development Hardware,2,sg_,1710,Technology Development,med,R&D hardware capitalised as dev asset -> Technology Development; could be 1510 Hardware Devices,,,1710,0.383,review
Other Operating Expenses:Other Marketing Expense,Other Marketing Expense,2,sg_,6102,Marketing - Partnerships,med,"other/unspecified marketing expense — Marketing - Partnerships nearest, could be 6101 branding",,,6102,0.521,review
Other Operating Expenses:Corporate - Office Repair and Maintenance,Corporate - Office Repair and Maintenance,2,sg_,6300,Office Rent,med,office repair & maintenance maps to Office Rent/facilities bucket; no dedicated R&M code,,,6300,0.289,review
Computer at Cost,Computer at Cost,2,au,1500,Computer & Peripherals,high,Computer asset at cost = Computer & Peripherals,1500,,1500,0.532,audited-ok
Operating Expenses:Corporate - Insurance  Expense,Corporate - Insurance  Expense,2,au,5035,Cost of Insurance - Trip Premium,med,Corporate insurance expense -> Cost of Insurance Trip Premium 5035 (not revenue 4030); could be 6xx admin insurance.,,,4030,0.408,review
Employee Expenses,Employee Expenses,2,au,6014,Employee Claims - Other,med,Generic employee expense reimbursement (AU) -> Employee Claims - Other,,,6014,0.5,review
Accounts Payable (A/P) - USD,Accounts Payable (A/P) - USD,2,au,2000,Trade & Other Payables,high,accounts payable — Trade & Other Payables,2000,,2010,0.41,audited-ok
Meals and entertainment (deleted),Meals and entertainment (deleted),2,au,6402,Entertainment,high,meals and entertainment = Entertainment,6402,,6402,0.426,audited-ok
Insurance Payable,Insurance Payable,2,au,2010,Other Payables,med,Insurance amount owed = Other Payables (statutory/non-trade),,,2010,0.532,review
Due to Directors,Due to Directors,2,ven,2400,Loans from Others,med,Money owed to directors = loan from others (liability) 2400; not salary expense 6003.,,,6003,0.425,review
Brand:Accumulated Depreciation- Branding,Accumulated Depreciation- Branding,1,sg_,1800,Accum Amort - Brand,high,Accumulated amortisation of Brand intangible -> Accum Amort - Brand (contra-asset; machine 6101 expense is wrong),1800,,6101,0.372,audited-ok
Computer and Peripherals:Accumulated Depreciation-Computer and peripherals,Accumulated Depreciation-Computer and peripherals,1,sg_,1600,Accum Depr - Computer & Peripherals,high,accumulated depreciation on computers — Accum Depr - Computer & Peripherals,1600,,1500,0.537,audited-ok
Other Operating Expenses:Depreciation Expense,Depreciation Expense,1,sg_,7300,Depreciation - Computer & Equipment,med,depreciation expense to P&L; default Computer & Equipment depreciation absent asset detail,,,7301,0.461,review
Gross Revenue,Gross Revenue,1,sg_,4025,Incidentals Revenue - Other,low,Unspecified gross revenue; defaults to incidentals-other absent detail,,,4025,0.48,review
Hardware:Accumulated Depreciation - Hardware,Accumulated Depreciation - Hardware,1,sg_,1610,Accum Depr - Hardware Devices,high,Accumulated depreciation on Hardware Devices -> 1610.,1610,,1610,0.362,audited-ok
Accumulated Depreciation - Intangible asset,Accumulated Depreciation - Intangible asset,1,sg_,1810,Accum Amort - Technology Development,med,Generic intangible accum amort -> Accum Amort - Technology Development (machine 7301 expense is wrong type),,,7301,0.333,review
Depreciation - Hardware,Depreciation - Hardware,1,sg_,7301,Depreciation - In-Car Devices,high,depreciation of in-car hardware devices — Depreciation - In-Car Devices,7301,,7301,0.442,audited-ok
Suspense (deleted),Suspense (deleted),1,sg_,3300,Suspense Account,high,suspense holding account = Suspense Account,3300,,3300,0.535,audited-ok
Security Deposit Refundable,Security Deposit Refundable,1,sg_,1310,Customer Deposits,high,Refundable deposit paid by company = Customer Deposits (asset),2110,"GAURAV 2026-07-23: deposits WE HOLD from guests/hosts -> liability 2110, not asset 1310",1310,0.35,approved
Other Operating Expenses:Bad debts,Bad debts,1,sg_,1900,Allowance for Doubtful Accounts,med,Bad debts -> Allowance for Doubtful Accounts 1900; if direct write-off may differ.,,,6600,0.222,review
Other Operating Expenses:Subscription Fee,Subscription Fee,1,sg_,6701,Technology - Software Subscriptions,med,Generic subscription fee under opex -> Technology - Software Subscriptions; machine 5030 device-cost too specific,,,5030,0.418,review
Fleet Account (deleted),Fleet Account (deleted),1,sg_,,,low,deleted Fleet clearing account — intra-entity RMS Fleet clearing — needs a decision,TRANSFER,"RMS settlement of our own money: we were the registered host, so guest revenue was already recognized at Stripe; this inflow is Stripe-connected-account -> our bank, an INTERNAL CASH TRANSFER (never P&L). Handled by transfer-pairing (connected acct modeled as a cash account), not a COA rule. Decision 2026-07-10.",5060,0.245,approved
Computer & Software:Accumulated Depreciation-Computer & Software,Accumulated Depreciation-Computer & Software,1,sg_,1600,Accum Depr - Computer & Peripherals,high,"accumulated depreciation contra-asset for computer = Accum Depr - Computer & Peripherals, not P&L expense",1600,,7300,0.493,audited-ok
FL A/c (deleted),FL A/c (deleted),1,sg_,,,low,Deleted/unknown account — needs a decision,,,1710,0.147,review
Cost of Service,Cost of Service,1,sg_,5030,Cost of Device Subscriptions,low,"Generic ""Cost of Service"" with no detail; defaulting to a COS line; needs decision.",,,5030,0.242,review
Accumulated Depreciation-Computer and peripherals,Accumulated Depreciation-Computer and peripherals,1,sg_,1600,Accum Depr - Computer & Peripherals,high,Accum depreciation on computers -> Accum Depr - Computer & Peripherals (contra-asset; machine 1500 gross asset is wrong),1600,,1500,0.537,audited-ok
Cost of Service:Host Earnings:Car Rental usage,Car Rental usage,1,sg_,5000,Host Payouts - P2P,med,host earnings for car rental usage — Host Payouts - P2P (default host payout); machine rec 7301 looks wrong,,,7301,0.227,review
Gross Revenue-Car Rental Usage:Customer Refunds (deleted),Customer Refunds (deleted),1,sg_,5052,Refunds - Trip,high,customer trip refunds = Refunds - Trip; not customer deposits,5052,,1310,0.373,audited-ok
Other Operating Expenses:Legal Settlement Expense,Legal Settlement Expense,1,sg_,6501,Legal Fees,med,Legal settlement = Legal Fees (could be 6502 if penalty),,,6501,0.365,review
Other Operating Expenses:Corporate - Utilities,Corporate - Utilities,1,sg_,2200,Accrued Expenses,low,Utilities expense; no dedicated COA line; closest is Accrued Expenses 2200 - needs decision.,,,6400,0.216,review
Other Operating Expenses:Human Resources- Staffs' training,Human Resources- Staffs' training,1,sg_,6200,HR - Recruitment,low,Staff training has no dedicated account; closest is HR - Recruitment (machine 5010 payment-processing is wrong),,,5010,0.171,review
Other Operating Expenses:Corporate - Communications,Corporate - Communications,1,sg_,6701,Technology - Software Subscriptions,med,corporate communications/telecom — Technology - Software Subscriptions nearest; could be utilities,,,6400,0.19,review
Cost of Overhead Related to Service:Salary Expense - Ops Contractor (Bonus),Salary Expense - Ops Contractor (Bonus),1,sg_,5061,On-Ground Team - Salary,med,ops contractor bonus is on-ground ops labour (COS) = On-Ground Team - Salary,,,6003,0.207,review
5100-STRIPE-HTRIP Stripe - Host Trip Expenses,5100-STRIPE-HTRIP Stripe - Host Trip Expenses,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
11111 Receivable from Guests,11111 Receivable from Guests,1,au,1200,Trade Receivables,med,Receivable from guests = Trade Receivables (customer balances),,,1220,0.513,review
RMS Expense,RMS Expense,1,au,4001,GBV - P2P RMS,low,RMS Expense ambiguous; machine maps to GBV RMS revenue 4001 but label says expense - needs decision.,,,4001,0.4,review
