qb_label,usage_count,entities,llm_code,llm_name,llm_confidence,llm_reason,approved_code/ remarks
Employees Expense,131,sg_,6014,Employee Claims - Other,med,"generic employee expense reimbursement, no specific category — Employee Claims - Other",Employee claims across different heads - 6010/6011/6012/6013/6014 || DECISION 2026-07-10: SPLIT
"AI, Internet & Website Maintenance fees",128,sg_,6700,Technology - Infrastructure,med,"AI/internet/website infra maintenance = Technology - Infrastructure; anchor maps AI,Internet & Website to 6700",
Operating Expenses:Corporate-Other Corporate Expense,96,au,6014,Employee Claims - Other,low,"vague catch-all corporate expense; best fit Employee Claims/Other expense, ambiguous",
Operating Expenses,96,au,,,low,"top-level generic expense bucket, no leaf — needs decision",
Other Operating Expenses:Travel-Transportation,92,sg_,6401,Travel - Meals,low,Travel transportation; could be 6400 tickets or 6401 meals; transport reimbursement leans 6401 but uncertain.,
Cost of Overhead Related to Service:Operating Expenses:Onground team,87,"au,sg_",5062,On-Ground Team - Expenses,med,On-ground team operating expenses -> On-Ground Team - Expenses; could be 5061 if salary,
Operating Expenses:General Expense,87,au,6014,Employee Claims - Other,low,"generic unclassified operating expense; no clear category, catch-all",
Other Operating Expenses:Corporate - General Expenses,85,sg_,6014,Employee Claims - Other,med,corporate general/misc expense maps best to Employee Claims - Other / misc opex; ambiguous,
Uncategorised Income,62,sg_,3300,Suspense Account,low,Uncategorised income with no detail -> Suspense 3300 pending classification.,
Cost of Overhead Related to Service:Operating Expenses:Misc dispute,52,sg_,5042,Host Payouts - Misc,med,Misc dispute payouts to hosts -> Host Payouts - Misc,
Cost of Overhead Related to Service:Operating Expenses:Fuel,51,"au,sg_",5023,Incidentals Payout - Fuel,med,fuel cost in COS overhead — Incidentals Payout - Fuel,
Cost of Overhead Related to Service:Refunds,51,"au,sg_",5052,Refunds - Trip,med,Trip refunds -> Refunds - Trip; generic 'Refunds' could span incidentals (5053),
Other Income-Refund,45,sg_,7001,Other Income - Cash Rebate,med,Refund received as other income -> Cash Rebate 7001 (vendor/bank refund).,
Cost of Overhead Related to Service:Operating Expenses:Extensions,33,sg_,4025,Incidentals Revenue - Other,low,Trip extension charge — likely incidental/other revenue; classification unclear,
Prepaid Insurance,27,"au,sg_",1300,Prepayments,med,"prepaid insurance premium is a prepayment asset (1300), not revenue",
Other Operating Expenses:Travel - Accommodation,25,sg_,6400,Travel - Tickets,med,Business travel; no accommodation-specific code,
Cost of Overhead Related to Service:Marketing - Discount & Promotions,22,sg_,5050,Monthly Discounts,med,"trip discounts/promotions reduce revenue — Monthly Discounts (COS), not marketing opex",
Loan,19,au,,,low,"Bare ""Loan"" with no direction; could be 1320 (given) or 2400 (received) - needs decision.",
Device subscriptions,16,sg_,5030,Cost of Device Subscriptions,med,Device subscription cost -> Cost of Device Subscriptions; could be 4010 revenue but labeled as expense bucket,
Other Operating Expenses:Corporate - General Liability Insurance,15,sg_,6014,Employee Claims - Other,low,"corporate general liability insurance premium; no dedicated insurance-opex code, ambiguous",
Cost of Overhead Related to Service:In-car Running Costs,14,au,5030,Cost of Device Subscriptions,med,in-car device running/connectivity costs (COS) = Cost of Device Subscriptions,
Employee Expense,14,au,6014,Employee Claims - Other,med,Generic employee reimbursement claim = Employee Claims - Other,
Uncategorised Expense,12,"sg_,ven",3300,Suspense Account,low,Uncategorised holding -> Suspense Account pending reclass (machine 2200 accrual is wrong),
Other Operating Expenses:Human Resource - Employee Benefits,10,sg_,6014,Employee Claims - Other,med,HR employee benefits = Employee Claims - Other / misc HR opex; no dedicated benefits code,
Operating Expenses:Marketing Acquisition-New Customer,10,au,6100,Marketing - Digital Advertising,med,New-customer acquisition = digital advertising (not partnerships),
Other Operating Expenses:Travel Expenses,8,sg_,6400,Travel - Tickets,med,Generic travel expense -> Travel - Tickets; machine 6401 meals too specific for a generic label,
Cost of Overhead Related to Service:In-car devices - running/maintenance costs,7,sg_,5030,Cost of Device Subscriptions,med,"running/maintenance cost of in-car devices — Cost of Device Subscriptions, not depreciation",
In-car Devices,7,sg_,1510,Hardware Devices,med,In-car device account = Hardware Devices asset (not depreciation),
Director's Remuneration Payable,6,sg_,2304,Salaries Payable,med,directors remuneration owed but not paid = Salaries Payable (liability); not the expense 6003,
Other Operating Expenses:Corporate-Other Corporate,6,sg_,2010,Other Payables,low,Vague corporate catch-all; could be other payables/misc expense,
Cost of Overhead Related to Service:Operating Expenses:Damages,6,au,5021,Incidentals Payout - Damage (Host),low,Damages under expenses; likely damage payout to host 5021 (not revenue 4021); direction uncertain.,
Cost of Overhead Related to Service:Salary expense - Misc claims (Ops staff),5,sg_,6014,Employee Claims - Other,med,Ops staff misc claims -> Employee Claims - Other; could be 5062 if treated as COS ops expense,
Other Operating Expenses:Research and Development - Hardware,5,sg_,1710,Technology Development,med,capitalised R&D hardware/tech development — Technology Development asset (per machine rec); could be device hardware 1510,
Other Operating Expenses:Admin Expense,5,sg_,6014,Employee Claims - Other,low,"generic admin expense, no specific category — best-fit misc opex",
Other Operating Expenses:Corporate - Office Supplies,5,sg_,6013,Employee Claims - Office Supplies,med,Office supplies; 6013 is employee-claim supplies,
Fleet - Rental Expense,5,au,5060,Parking - RMS Fleet,med,RMS fleet rental/parking expense (AU) -> Parking - RMS Fleet; not the 'Due to/from Fleet' clearing rule,
Intangible Asset,4,sg_,1710,Technology Development,med,generic intangible asset — Technology Development (largest intangible); could be Brand 1700,
Uncategorised Asset,4,"au,sg_",3300,Suspense Account,low,uncategorised holding item routed to Suspense Account pending reclassification,
Other Operating Expenses:Corporate - Audit and Tax Fees,4,sg_,6500,Accounting & Bookkeeping Fees,med,Audit & tax fees = Accounting & Bookkeeping Fees,
Other Operating Expenses:Corporate - Other Equipment and Software,4,sg_,6310,Office Equipment,med,Other equipment & software (below-cap) -> Office Equipment 6310; could be 6701 if pure SaaS.,
Other Operating Expenses,4,sg_,7000,Other Income - Grants,low,Generic 'Other Operating Expenses' has no clean match; treated as other income/expense catch-all -> Suspense better but kept near machine,
Cost of Service:Host Earnings,3,"au,sg_",5000,Host Payouts - P2P,med,Host earnings = host payout COGS -> 5000 P2P (machine 3100 retained-earnings is wrong); split unknown.,
Sales of Product Revenue,3,"au,sg_",4025,Incidentals Revenue - Other,low,"product sales revenue; no product-sales code, mapped to Incidentals Revenue - Other as nearest revenue",
Other Operating Expenses:Travel- Allowance,3,sg_,6401,Travel - Meals,med,travel meal/allowance expense = Travel - Meals; could be 6400 if tickets,
Gross Revenue -Other Income,2,sg_,4025,Incidentals Revenue - Other,med,Misc revenue catch-all -> Incidentals Revenue Other 4025.,
Research and Development Hardware,2,sg_,1710,Technology Development,med,R&D hardware capitalised as dev asset -> Technology Development; could be 1510 Hardware Devices,
Other Operating Expenses:Other Marketing Expense,2,sg_,6102,Marketing - Partnerships,med,"other/unspecified marketing expense — Marketing - Partnerships nearest, could be 6101 branding",
Other Operating Expenses:Corporate - Office Repair and Maintenance,2,sg_,6300,Office Rent,med,office repair & maintenance maps to Office Rent/facilities bucket; no dedicated R&M code,
Operating Expenses:Corporate - Insurance  Expense,2,au,5035,Cost of Insurance - Trip Premium,med,Corporate insurance expense -> Cost of Insurance Trip Premium 5035 (not revenue 4030); could be 6xx admin insurance.,
Employee Expenses,2,au,6014,Employee Claims - Other,med,Generic employee expense reimbursement (AU) -> Employee Claims - Other,
Insurance Payable,2,au,2010,Other Payables,med,Insurance amount owed = Other Payables (statutory/non-trade),
Due to Directors,2,ven,2400,Loans from Others,med,Money owed to directors = loan from others (liability) 2400; not salary expense 6003.,
Other Operating Expenses:Depreciation Expense,1,sg_,7300,Depreciation - Computer & Equipment,med,depreciation expense to P&L; default Computer & Equipment depreciation absent asset detail,
Gross Revenue,1,sg_,4025,Incidentals Revenue - Other,low,Unspecified gross revenue; defaults to incidentals-other absent detail,
Accumulated Depreciation - Intangible asset,1,sg_,1810,Accum Amort - Technology Development,med,Generic intangible accum amort -> Accum Amort - Technology Development (machine 7301 expense is wrong type),
Other Operating Expenses:Bad debts,1,sg_,1900,Allowance for Doubtful Accounts,med,Bad debts -> Allowance for Doubtful Accounts 1900; if direct write-off may differ.,
Other Operating Expenses:Subscription Fee,1,sg_,6701,Technology - Software Subscriptions,med,Generic subscription fee under opex -> Technology - Software Subscriptions; machine 5030 device-cost too specific,
Fleet Account (deleted),1,sg_,,,low,deleted Fleet clearing account — intra-entity RMS Fleet clearing — needs a decision,"DECISION 2026-07-10: TRANSFER (internal transfer, never P&L)"
FL A/c (deleted),1,sg_,,,low,Deleted/unknown account — needs a decision,
Cost of Service,1,sg_,5030,Cost of Device Subscriptions,low,"Generic ""Cost of Service"" with no detail; defaulting to a COS line; needs decision.",
Cost of Service:Host Earnings:Car Rental usage,1,sg_,5000,Host Payouts - P2P,med,host earnings for car rental usage — Host Payouts - P2P (default host payout); machine rec 7301 looks wrong,
Other Operating Expenses:Legal Settlement Expense,1,sg_,6501,Legal Fees,med,Legal settlement = Legal Fees (could be 6502 if penalty),
Other Operating Expenses:Corporate - Utilities,1,sg_,2200,Accrued Expenses,low,Utilities expense; no dedicated COA line; closest is Accrued Expenses 2200 - needs decision.,
Other Operating Expenses:Human Resources- Staffs' training,1,sg_,6200,HR - Recruitment,low,Staff training has no dedicated account; closest is HR - Recruitment (machine 5010 payment-processing is wrong),
Other Operating Expenses:Corporate - Communications,1,sg_,6701,Technology - Software Subscriptions,med,corporate communications/telecom — Technology - Software Subscriptions nearest; could be utilities,
Cost of Overhead Related to Service:Salary Expense - Ops Contractor (Bonus),1,sg_,5061,On-Ground Team - Salary,med,ops contractor bonus is on-ground ops labour (COS) = On-Ground Team - Salary,
11111 Receivable from Guests,1,au,1200,Trade Receivables,med,Receivable from guests = Trade Receivables (customer balances),
RMS Expense,1,au,4001,GBV - P2P RMS,low,RMS Expense ambiguous; machine maps to GBV RMS revenue 4001 but label says expense - needs decision.,
4101 CMB - Trip Revenue,1,au,2100,Deferred Trip Revenue,med,"CMB trip revenue collected; if unearned booking payment then Deferred Trip Revenue (2100), else 4000",
Insurance,1,au,5035,Cost of Insurance - Trip Premium,low,"Bare ""Insurance""; likely trip insurance premium cost 5035; could be 4011/4030 - uncertain.",
Depreciation Expenses,1,ven,7300,Depreciation - Computer & Equipment,med,generic depreciation expense — Depreciation - Computer & Equipment default; machine rec 7301 specific to devices,
"Operating Expenses:Corporate-COSEC, FS & Tax",1,ven,6500,Accounting & Bookkeeping Fees,med,CoSec/financial-statements/tax compliance fees = Accounting & Bookkeeping Fees,
Other Revenue,1,ven,4025,Incidentals Revenue - Other,med,Generic other revenue -> Incidentals Revenue Other 4025.,
Deposit,1,ven,1310,Customer Deposits,med,deposit paid out = Customer Deposits (asset); could be deposit held if received,
Investment in Subsidiaries:Investment in Subsidiary - Drive Lah Pte Ltd (SG),1,ven,,,low,Equity investment in subsidiary — no COA account exists; needs a decision,
Investment in Subsidiaries:Investment in subsidiary - Drive Lah Pty Ltd (AU),1,ven,3300,Suspense Account,low,Investment in subsidiary; no equity-investment COA line; route to Suspense 3300 - needs decision.,
Unrealized capital contribution,1,ven,3000,Share Capital,med,Capital contribution -> Share Capital (equity); 'unrealized' suggests pending but equity type fits best,
Other Revenue:Other Income-Refund,1,ven,7000,Other Income - Grants,low,"other income refund; ambiguous — mapped to Other Income, could be an expense refund",
Operating Expenses:Corporate-Prof. Fees (Others),1,ven,6500,Accounting & Bookkeeping Fees,med,other professional fees = Accounting & Bookkeeping Fees / professional fees bucket,
Operating Expenses:Corporate - Company Secretary Fees,1,ven,6500,Accounting & Bookkeeping Fees,med,Company secretary fees = professional/accounting fees,
Other Deposit,1,sg_,1310,Customer Deposits,med,other deposit paid out = Customer Deposits (asset); direction assumed outbound,
4301 CMB - Incidental Revenue,1,au,4025,Incidentals Revenue - Other,med,Incidental revenue = Incidentals Revenue - Other,
In-car devices...,1,ven,1510,Hardware Devices,med,In-car device account = Hardware Devices asset (not depreciation),
